symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AllowanceForDoubtfulAccountsReceivable,AvailableForSaleSecurities,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CommonStock,CommonStockEquity,CurrentAssets,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,FinancialAssets,FinishedGoods,FixedAssetsRevaluationReserve,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,Inventory,InvestedCapital,InvestmentinFinancialAssets,InvestmentsInOtherVenturesUnderEquityMethod,InvestmentsinAssociatesatCost,InvestmentsinSubsidiariesatCost,LandAndImprovements,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentPensionAndOtherPostretirementBenefitPlans,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherInventories,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,Payables,PrepaidAssets,Properties,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,WorkInProcess,WorkingCapital
MARE.MI,2021-12-31,12M,EUR,3804000.0,15265000.0,-201000.0,15000.0,1908000.0,6185000.0,6185000.0,1908000.0,10583000.0,30368000.0,7054000.0,7054000.0,20791000.0,0.0,,,2804000.0,13247000.0,15467000.0,1449000.0,155000.0,29181000.0,15000.0,62000.0,3603000.0,56000.0,440000.0,11544000.0,11544000.0,3721000.0,355000.0,514000.0,3073000.0,12413000.0,1449000.0,-2664000.0,2473000.0,12050000.0,-1000.0,-1000.0,,10443000.0,,,1000.0,4035000.0,495000.0,5844000.0,11687000.0,99000.0,0.0,2109000.0,12050000.0,10583000.0,-2664000.0,2821000.0,48820000.0,22127000.0,18598000.0,13656000.0,35164000.0,18452000.0,14373000.0,3848000.0,,9577000.0
MARE.MI,2022-12-31,12M,EUR,4735000.0,19314000.0,-188000.0,41000.0,2141000.0,3036000.0,3036000.0,2141000.0,17922000.0,36015000.0,8397000.0,8397000.0,23921000.0,0.0,344000.0,3877000.0,2756000.0,18250000.0,19502000.0,1895000.0,416000.0,42221000.0,41000.0,267000.0,4035000.0,61000.0,593000.0,15902000.0,15902000.0,4363000.0,150000.0,806000.0,63000.0,21263000.0,1896000.0,-328000.0,2609000.0,12050000.0,-1000.0,8000.0,1000.0,15494000.0,1000.0,-1000.0,,4590000.0,496000.0,7327000.0,12945000.0,647000.0,0.0,2546000.0,12050000.0,17922000.0,-328000.0,5276000.0,60567000.0,33824000.0,24299000.0,17985000.0,42582000.0,24552000.0,18661000.0,3620000.0,71000.0,12094000.0
