asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,Amortization,AmortizationCashFlow,AvailableForSaleSecurities,BasicAverageShares,BasicEPS,BeginningCashPosition,CapitalExpenditure,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,ChangeInAccruedExpense,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStock,CommonStockEquity,CommonStockIssuance,CommonStockPayments,ConstructionInProgress,CostOfRevenue,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredTaxesAssets,CurrentLiabilities,DeferredTax,Depreciation,DepreciationAndAmortization,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DerivativeProductLiabilities,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,DividendReceivedCFO,EBIT,EBITDA,EndCashPosition,EnterpriseValue,FinancialAssets,FinancingCashFlow,FreeCashFlow,GainLossOnInvestmentSecurities,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,GrossProfit,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,InterestPaidCFO,Inventory,InvestedCapital,InvestingCashFlow,InvestmentinFinancialAssets,InvestmentsInOtherVenturesUnderEquityMethod,InvestmentsinAssociatesatCost,InvestmentsinSubsidiariesatCost,IssuanceOfCapitalStock,IssuanceOfDebt,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermDebtIssuance,LongTermDebtPayments,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MarketCap,MinorityInterest,MinorityInterests,NetBusinessPurchaseAndSale,NetCommonStockIssuance,NetDebt,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeFromContinuingOperations,NetIncomeIncludingNoncontrollingInterests,NetIntangiblesPurchaseAndSale,NetInterestIncome,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetNonOperatingInterestIncomeExpense,NetOtherFinancingCharges,NetOtherInvestingChanges,NetPPE,NetPPEPurchaseAndSale,NetShortTermDebtIssuance,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NormalizedEBITDA,NormalizedIncome,OperatingCashFlow,OperatingExpense,OperatingIncome,OperatingRevenue,OrdinarySharesNumber,OtherCurrentLiabilities,OtherIntangibleAssets,OtherNonCashItems,OtherNonCurrentLiabilities,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,OtherunderPreferredStockDividend,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,PretaxIncome,Properties,ProvisionandWriteOffofAssets,PurchaseOfBusiness,PurchaseOfIntangibles,PurchaseOfInvestment,PurchaseOfPPE,RawMaterials,ReconciledCostOfRevenue,ReconciledDepreciation,RentAndLandingFees,RentExpenseSupplemental,RepaymentOfDebt,RepurchaseOfCapitalStock,RestructuringAndMergernAcquisition,RetainedEarnings,SaleOfBusiness,SaleOfIntangibles,SaleOfInvestment,SaleOfPPE,ShareIssued,SpecialIncomeCharges,StockholdersEquity,TangibleBookValue,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TaxesReceivable,TaxesRefundPaid,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalExpenses,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalOtherFinanceCost,TotalRevenue,TotalTaxPayable,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,TradeandOtherPayablesNonCurrent,TreasurySharesNumber,TreasuryStock,WorkInProcess,WorkingCapital,WriteOff
2019-12-31,12M,EUR,,,,-545567.0,,,250000.0,14487404.0,0.063745,,,,,,,1583833.0,,,,,,,,,,,,,0.0,,,,,,,150236.0,,,,,,,,14487404.0,0.063745,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,271993.0,,,,271993.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82067.0,,,,-305661.0,,,,,,,,,0.0,,,,,,,,370000.0,,,,,,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,-5665.0,,,,,,,,,,
2020-12-31,12M,EUR,3032547.0,6588328.0,12671710.0,-542665.0,3926954.0,3926954.0,255.0,14978504.0,0.017378,1586107.0,-9982198.0,253281.0,750520.0,6502710.0,6643173.0,6501502.0,6502710.0,360891.0,1485452.0,275907.0,2035659.0,-1408438.0,-1808654.0,-544635.0,4916603.0,750520.0,16040789.0,31125.0,-228555.0,32256.0,9667390.0,18710056.0,21496.0,1244976.0,1266472.0,148632.0,8751452.0,514266.0,78763.0,4005717.0,4005717.0,78763.0,26751.0,14978504.0,0.017378,260299.0,0.0,1039642.0,5045359.0,6502710.0,42349158.0,0.0,8926098.0,-6122895.0,-26751.0,3275835.0,17422999.0,6588328.0,576180.0,6699711.0,116252.0,116252.0,1039.0,1039.0,-104493.0,94093.0,27817669.0,-7868798.0,255.0,307000.0,675858.0,0.0,31125.0,9445333.0,231785.0,10531904.0,10763689.0,9445333.0,-1122544.0,982858.0,20000.0,15834.0,39543250.0,697295.0,-148825.0,2559171.0,-197430.0,5274170.0,260299.0,260299.0,409124.0,260299.0,260299.0,409024.0,409124.0,-9958676.0,-115213.0,-32710.0,-321805.0,-1122544.0,-115213.0,9445333.0,-413061.0,576180.0,-23522.0,800739.0,-1382210.0,,11667.0,1047659.0,5326318.0,473827.84,3859303.0,5593704.0,1106007.0,16367101.0,14978504.0,31381.0,14147164.0,-151619.0,-1.0,-556782.0,887911.0,1245750.0,153776.0,3463577.0,140463.0,0.0,5412630.0,485973.0,,923390.0,374314.0,217684.0,,-9958676.0,-32710.0,-23522.0,,9667390.0,4005717.0,556782.0,556782.0,-1122544.0,-228555.0,281984.0,261296.0,2559171.0,0.0,0.0,,15014404.0,-292614.0,16040789.0,-1382210.0,-67430.16,514266.0,0.24,1772253.0,-141799.0,37692348.0,26572693.0,12030161.0,16738084.0,15261094.0,20954264.0,18982292.0,12202812.0,,16367101.0,1134333.0,-280959.0,-280959.0,333047.0,35900.0,92966.0,94093.0,9958604.0,10630.0
2021-12-31,12M,EUR,2061714.0,7993007.0,18439318.0,-573440.0,4134609.0,4134609.0,255.0,17122422.0,0.03488,6502710.0,-8553491.0,2169340.0,872216.0,8461078.0,8612747.0,,8461078.0,130941.0,1485452.0,-162685.0,2624953.0,-1157136.0,-2744367.0,-1308294.0,1958368.0,872216.0,22647700.0,4239328.0,-213621.0,0.0,10005057.0,22159728.0,215046.0,2742856.0,2957902.0,155966.0,10604567.0,319768.0,4420435.0,4420435.0,4420435.0,285826.0,4461.0,17122422.0,0.03488,597226.0,0.0,1480136.0,5900571.0,8461078.0,54171495.0,781.0,7641242.0,-4801659.0,23071.0,5991492.0,21270681.0,7993007.0,3022309.0,8148366.0,381012.0,381012.0,6295.0,6295.0,-379200.0,256778.0,36053389.0,-9434706.0,255.0,373485.0,1099558.0,0.0,4239328.0,2828629.0,1954294.0,10662833.0,12617127.0,2828629.0,-1297781.0,1473043.0,20000.0,11987.0,48285230.0,627283.0,-182130.0,-129500.0,4025707.0,4944611.0,597226.0,597226.0,779356.0,597226.0,597226.0,779356.0,779356.0,-5821536.0,-374717.0,-351164.0,732906.0,-1297781.0,-374717.0,2882629.0,-400551.0,3022309.0,-2731955.0,2030687.0,1377019.0,,3932.0,1292219.0,6308370.0,886384.090847,3751832.0,6261102.0,1887264.0,18153423.0,17122422.0,,15279189.0,379200.0,,-622263.0,240152.0,2370887.0,273022.0,4447275.0,151669.0,0.0,5361142.0,639547.0,,1099124.0,2737300.0,408940.0,-129500.0,-5821536.0,-351164.0,-2731955.0,,10005057.0,4420435.0,622263.0,622263.0,-1297781.0,-213621.0,364605.0,654039.0,,,,,17240322.0,-408940.0,22647700.0,1377019.0,-118640.909153,319768.0,0.29093,693955.0,-771399.0,47935570.0,33310533.0,15575029.0,23274983.0,16266159.0,24660587.0,25775842.0,14056020.0,,18153423.0,928541.0,-407799.0,-407799.0,118281.0,117900.0,306587.0,256778.0,11555161.0,44335.0
2022-12-31,12M,EUR,2810453.0,7027272.0,23156447.0,,4368773.0,,255.0,19167422.0,0.035438,8461078.0,-12160575.0,2039713.0,959166.0,3565300.0,4401969.0,,3565300.0,91475.0,-4895778.0,129793.0,-1354734.0,550390.0,874935.0,291859.0,-4895778.0,959166.0,28414354.0,265168.0,,0.0,11739950.0,18746661.0,171640.0,3909810.0,4081450.0,116198.0,11133086.0,241289.0,4921759.0,4921759.0,4921759.0,552986.0,0.0,19167422.0,0.035438,679247.0,0.0,1506319.0,6428078.0,3565300.0,40212089.0,140613.0,1182222.0,-5770983.0,135371.0,8771792.0,34290818.0,7027272.0,3240628.0,9282907.0,378914.0,378914.0,1793.0,1793.0,-379415.0,126985.0,42366607.0,-12467592.0,255.0,612185.0,343346.0,0.0,265168.0,,1868073.0,10042443.0,11910516.0,,-3011423.0,955531.0,20000.0,36115.0,31470897.0,4068825.0,-206869.0,0.0,265168.0,10386953.0,679247.0,679247.0,886116.0,679247.0,679247.0,886116.0,886116.0,-11389270.0,-377121.0,-685000.0,-1929975.0,-3011423.0,-377121.0,2847029.0,-139529.0,3240628.0,-253793.0,1081448.0,-5876464.0,116198.0,113756.0,1685069.0,6978835.0,1112130.116371,6389592.0,7225293.0,2057614.0,21022857.0,19167422.0,,25519026.0,379415.0,7973.0,-799356.0,289987.0,1390058.0,280286.0,4961120.0,836669.0,0.0,4664520.0,773396.0,42919.0,1127405.0,2924227.0,546506.0,0.0,-11389270.0,-685000.0,-771305.0,,11739950.0,4921759.0,799356.0,799356.0,-3011423.0,,546506.0,369062.0,,,,517512.0,19183322.0,-549827.0,28414354.0,-5876464.0,-117873.883629,241289.0,0.214022,2186396.0,-479652.0,57379665.0,38456797.0,15991966.0,32483179.0,18965243.0,24896486.0,38632945.0,13763400.0,,21022857.0,464009.0,-550757.0,-550757.0,34059.0,15900.0,41419.0,126985.0,7613575.0,3321.0
2023-12-31,12M,EUR,2885961.0,7000543.0,26164447.0,,2152438.0,,,,,3565300.0,-7353749.0,1704675.0,1039166.0,2409435.0,2597703.0,,2409435.0,-87727.0,-1155865.0,126985.0,3476365.0,-2833937.0,-1621672.0,-939986.0,-1155865.0,1039166.0,32855891.0,0.0,,0.0,11595746.0,18000069.0,175597.0,5224305.0,5399902.0,,13021226.0,432980.0,2419623.0,2419623.0,2419623.0,267185.0,7849.0,,,160829.0,,1235374.0,3654997.0,2409435.0,50851124.0,67981.0,3737957.0,-5760587.0,-80481.0,11656106.0,39460167.0,7000543.0,3005405.0,9555173.0,605384.0,605384.0,8022.0,8022.0,-605384.0,0.0,48119460.0,-6486984.0,0.0,302100.0,343346.0,91731.0,0.0,,1529078.0,10039264.0,11568342.0,,-4238086.0,737177.0,50000.0,34344.0,37796708.0,1766929.0,-36181.0,0.0,0.0,12854134.0,160829.0,160829.0,197010.0,160829.0,160829.0,197010.0,197010.0,-7321787.0,-597362.0,0.0,-1915554.0,-4238086.0,-597362.0,5653511.0,648401.0,3005405.0,186402.0,2322532.0,-6604276.0,,192883.0,1809798.0,5012161.0,1192273.64,1593162.0,6956344.0,2598829.0,21150919.0,20767422.0,,27804061.0,605384.0,3000.0,,843071.0,1282541.0,269134.0,7764160.0,188268.0,0.0,5419219.0,1009196.0,16810.0,629990.0,2701927.0,522913.0,0.0,-7321787.0,0.0,-31962.0,,11595746.0,2419623.0,1819211.0,1819211.0,-4238086.0,,472913.0,551234.0,,,,218364.0,20783322.0,-1158355.0,32855891.0,-6604276.0,-325719.36,432980.0,0.24,620853.0,361904.0,61275899.0,42895155.0,16968244.0,34622820.0,18552090.0,26653079.0,43275830.0,13631853.0,,21150919.0,1250717.0,-1357164.0,-1357164.0,-19.0,15900.0,41419.0,0.0,4978843.0,685442.0
