asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,Amortization,AmortizationCashFlow,AvailableForSaleSecurities,BasicAverageShares,BasicEPS,BeginningCashPosition,BuildingsAndImprovements,CapitalExpenditure,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,ChangeInAccruedExpense,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInOtherCurrentLiabilities,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStock,CommonStockEquity,ConstructionInProgress,CostOfRevenue,CurrentAssets,CurrentDeferredTaxesLiabilities,CurrentLiabilities,DeferredTax,Depreciation,DepreciationAndAmortization,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,EndCashPosition,EnterpriseValue,EnterprisesValueEBITDARatio,FinancingCashFlow,FinishedGoods,FreeCashFlow,GainLossOnSaleOfPPE,GeneralAndAdministrativeExpense,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,GrossProfit,ImpairmentOfCapitalAssets,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,InterestPaidCFF,Inventory,InvestedCapital,InvestingCashFlow,InvestmentProperties,InvestmentinFinancialAssets,IssuanceOfDebt,LandAndImprovements,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermDebtIssuance,LongTermDebtPayments,LongTermProvisions,MachineryFurnitureEquipment,MarketCap,NetCommonStockIssuance,NetDebt,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeFromContinuingOperations,NetIncomeIncludingNoncontrollingInterests,NetIntangiblesPurchaseAndSale,NetInterestIncome,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetNonOperatingInterestIncomeExpense,NetOtherFinancingCharges,NetOtherInvestingChanges,NetPPE,NetPPEPurchaseAndSale,NetTangibleAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NormalizedEBITDA,NormalizedIncome,OperatingCashFlow,OperatingExpense,OperatingIncome,OperatingRevenue,OrdinarySharesNumber,OtherCashAdjustmentOutsideChangeinCash,OtherCurrentAssets,OtherCurrentLiabilities,OtherIntangibleAssets,OtherNonCashItems,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherOperatingExpenses,OtherPayable,OtherProperties,OtherReceivables,OtherSpecialCharges,OtherunderPreferredStockDividend,Payables,PensionAndEmployeeBenefitExpense,PrepaidAssets,PretaxIncome,Properties,ProvisionandWriteOffofAssets,PurchaseOfIntangibles,ReconciledCostOfRevenue,ReconciledDepreciation,RentAndLandingFees,RentExpenseSupplemental,RepaymentOfDebt,RestructuringAndMergernAcquisition,RetainedEarnings,SaleOfIntangibles,SellingAndMarketingExpense,SellingGeneralAndAdministration,ShareIssued,SpecialIncomeCharges,StockholdersEquity,TangibleBookValue,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TaxesReceivable,TaxesRefundPaid,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalExpenses,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalOperatingIncomeAsReported,TotalOtherFinanceCost,TotalRevenue,TotalTaxPayable,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,TradeandOtherPayablesNonCurrent,WorkingCapital,WriteOff
2020-06-30,12M,EUR,11181000.0,19262000.0,-17848000.0,17666845.0,-9308000.0,30408328.0,30408328.0,,67738911.0,-0.23,3903510.0,1436000.0,-48603183.0,40643347.0,11327566.0,11327566.0,11314402.0,13164.0,17121714.0,7424056.0,846263.0,-1133430.0,-1722631.0,46071694.0,-25318893.0,34474495.0,7424057.0,40643347.0,26956276.0,0.0,6495775.0,76159167.0,9975655.0,162535673.0,1420979.0,1576115.0,31984443.0,31984443.0,1576115.0,67738911.0,-0.23,-15876263.0,-14075059.0,17909384.0,11327566.0,118356420.0,,-3575567.0,934955.0,-10319736.0,-16673723.0,18850367.0,100678347.0,28570000.0,61660857.0,99762969.0,3111921.0,1361126.0,1361126.0,,,-873826.0,934955.0,51539894.0,-27283823.0,21900000.0,,,46976000.0,24583618.0,24583618.0,,-2290639.0,221236.0,2364000.0,98221420.0,,13256052.0,-15876263.0,-15876263.0,-15876263.0,-15876263.0,-15876263.0,-15876263.0,-15876263.0,-18114514.0,-1667274.0,133618.0,-2290639.0,-2290639.0,-1667274.0,-411102.0,-8343440.0,43812857.0,-959487.0,-73722071.0,3553804.0,25022012.0,11187711.0,1761131.0,5010962.0,-25679063.72,38283447.0,126468685.0,-26705716.0,106258744.0,67738911.0,-1.0,-6756.0,7616580.0,100678347.0,1361126.0,108505.0,2327499.0,5415158.0,96249716.0,10884857.0,31149810.0,-16563599.0,0.0,127212808.0,72111.0,10401000.0,-15436185.0,0.0,-1390222.0,-47643696.0,6495775.0,31984443.0,,,-2290639.0,382595.0,15491604.0,29529182.0,3277710.0,22128077.0,67738911.0,12898422.0,26956276.0,-73722071.0,3095621.28,440078.0,0.24,3090592.0,-1420979.0,288695614.0,51539894.0,24583618.0,26956276.0,132964460.0,261739338.0,212536447.0,99203665.0,-14113441.0,306148.0,106258744.0,19782092.0,12898422.0,12898422.0,55568666.0,-86376506.0,170661.0
2021-06-30,12M,EUR,6999000.0,5867000.0,-20036000.0,17666845.0,-9204000.0,32826000.0,32826000.0,,67738911.0,-0.38,11327566.0,3554000.0,-49996592.0,40643347.0,13891881.0,13891881.0,13876946.0,13891881.0,-17630395.0,2564317.0,-2058075.0,8181489.0,-300177.0,32680860.0,14371148.0,44345169.0,2564317.0,40643347.0,2733180.0,4972980.0,22090522.0,65742445.0,10378779.0,177482583.0,5589790.0,1808000.0,34634000.0,34634000.0,1808000.0,67738911.0,-0.38,-24212931.0,-26422295.0,8211705.0,13891881.0,65559904.0,,-23468822.0,2993030.0,7682603.0,-3062056.0,13681767.0,107591000.0,15071000.0,63002000.0,144307740.0,150000.0,1134044.0,1134044.0,517010.0,517010.0,-765679.0,2993030.0,2733180.0,-31646056.0,21900000.0,,5555000.0,46976000.0,12671536.0,12671536.0,5555000.0,-27657747.0,221236.0,3102000.0,83047904.0,0.0,,-24212931.0,-24212931.0,-24212931.0,-24212931.0,-24212931.0,-24212931.0,-24212931.0,-36662179.0,-617034.0,22456.0,-22703143.0,-22703143.0,-617034.0,-600397.0,10209117.0,42966000.0,-5215450.0,-104857820.0,3388506.0,32149034.0,9784657.0,1661776.0,5299649.0,-26771667.415751,57679195.0,174159035.0,-29851295.0,166398262.0,67738911.0,-2.0,381.0,34860410.0,107591000.0,1134044.0,26819404.0,4923232.0,4102020.0,37812486.0,9370000.0,38947301.0,-3062056.0,0.0,99261265.0,-107483.0,1586000.0,-27556339.0,0.0,836000.0,-44781142.0,22090522.0,34634000.0,,,-27657747.0,377323.0,-8679708.0,8118963.0,3050440.0,16732207.0,67738911.0,2912056.0,2733180.0,-104857820.0,353319.584249,-3343409.0,0.12133,2456852.0,-1627405.0,277086413.0,2733180.0,12671536.0,2733180.0,196249557.0,274353233.0,211343968.0,96870650.0,-26939305.0,174684.0,166398262.0,54449779.0,2912056.0,2912056.0,67608213.0,-111740138.0,836282.0
2022-06-30,12M,EUR,7364000.0,10303000.0,-21889000.0,,-8953000.0,32014000.0,32014000.0,454568.0,67738911.0,-0.33,13891881.0,3959000.0,-33536032.0,40643347.0,13783337.0,13783337.0,,13783337.0,,-108545.0,1920421.0,229057.0,-15151281.0,3063918.0,-20944731.0,-28237551.0,-108545.0,40643347.0,-8522721.0,,26631879.0,57488359.0,,162737744.0,5099203.0,42773753.0,42773753.0,33868000.0,1854000.0,67738911.0,-0.33,-17419657.0,-11687486.0,31086267.0,13783337.0,102400994.0,,25689569.0,1072609.0,-60734706.0,-24984630.0,1900000.0,90226906.0,19256000.0,111335449.0,107814373.0,6666000.0,1616854.0,1616854.0,186256.0,186256.0,-886166.0,1072609.0,-8522721.0,1400560.0,21900000.0,454568.0,,46976000.0,,,,,2489435.0,3102000.0,68754994.0,5950000.0,,-17419657.0,-17419657.0,-17419657.0,-17419657.0,-17419657.0,-17419657.0,-17419657.0,3671717.0,-1771598.0,97406.0,20625735.0,20625735.0,-1771598.0,,893923.0,89446449.0,-3262486.0,-98749627.0,,31573452.0,9585941.0,1528352.0,13301637.0,-30935975.8,-27198674.0,137131175.0,-29316802.0,134446252.0,67738911.0,1.0,-342.0,25609974.0,90226906.0,886166.0,-40152887.0,5161391.0,3884000.0,30168047.0,57298449.0,26833000.0,-24450630.0,0.0,112093074.0,80331.0,1727000.0,-13304340.0,0.0,2239000.0,-30273546.0,26631879.0,42773753.0,1900000.0,1900000.0,,,-26099365.0,33945263.0,,1900000.0,67738911.0,17784630.0,-8522721.0,-98749627.0,4268311.2,4115317.0,0.24,3769755.0,-5396287.0,267837827.0,-8522721.0,,-8522721.0,163763054.0,276360548.0,210349468.0,113622804.0,-11873742.0,341000.0,134446252.0,74561027.0,17784630.0,17784630.0,50465201.0,-105249385.0,
2023-06-30,12M,EUR,6425000.0,5621000.0,-23779000.0,,-8755000.0,28522000.0,,499673.0,67738911.0,-0.44,13783337.0,5226000.0,-42495709.0,40643347.0,12478285.0,12478285.0,,12478285.0,,-1305051.0,-177031.0,-2553649.0,15892845.0,6930805.0,9815863.0,28493798.0,-1305051.0,40643347.0,-38039137.0,,30509147.0,60318267.0,,165019591.0,2514641.0,30616122.0,30616122.0,30406000.0,1884000.0,67738911.0,-0.44,-29541144.0,-22073383.0,8542739.0,12478285.0,70194161.0,8.216821,-2751999.0,1249640.0,-16318278.0,-4622054.0,,83527000.0,14376000.0,120034872.0,115814392.0,438000.0,4174164.0,4174164.0,706786.0,706786.0,-2233534.0,1249640.0,-38039137.0,-24730483.0,21900000.0,499673.0,,49462000.0,,,,,800560.0,4822000.0,70787161.0,0.0,,-29541144.0,-29541144.0,-29541144.0,-29541144.0,-29541144.0,-29541144.0,-29541144.0,-17265032.0,-3672378.0,-45105.0,-518465.0,-518465.0,-3672378.0,1.0,-3261835.0,96255872.0,-4158511.0,-121566137.0,,31167450.0,9453778.0,1687213.0,4539685.0,-32583465.04,26177431.0,142306773.0,-26492381.0,146323539.0,67738911.0,-1.0,1661.0,38289485.0,83527000.0,2233534.0,-43256815.0,5285955.0,1030000.0,29417610.0,60524872.0,37741116.0,-4441054.0,0.0,72823754.0,183589.0,2072000.0,-26247547.0,0.0,-1415035.0,-38337198.0,30509147.0,30616122.0,3142000.0,3142000.0,,,-55640509.0,21072166.0,,,67738911.0,4003054.0,-38039137.0,-121566137.0,960732.96,3293597.0,0.24,1154565.0,-3701055.0,265769951.0,-38039137.0,,-38039137.0,172815920.0,303809088.0,205451684.0,138789497.0,-22780169.0,205000.0,146323539.0,36981144.0,4003054.0,4003054.0,98443075.0,-104701324.0,
