symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AllowanceForDoubtfulAccountsReceivable,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredAssets,CurrentLiabilities,FinishedGoods,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,Inventory,InvestedCapital,InvestmentProperties,InvestmentinFinancialAssets,LandAndImprovements,LongTermProvisions,MachineryFurnitureEquipment,NetPPE,NetTangibleAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherIntangibleAssets,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,Payables,PrepaidAssets,Properties,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TradeandOtherPayablesNonCurrent,WorkingCapital
SSL.MI,2022-12-31,3M,EUR,17116000.0,20238000.0,-22818000.0,-8775000.0,,5957000.0,40643000.0,2335000.0,2335000.0,2314000.0,21000.0,40643000.0,-30007000.0,7267000.0,71434000.0,1742000.0,1742000.0,1689000.0,153807000.0,608000.0,97237000.0,29013000.0,94253000.0,608000.0,-28265000.0,,,68769000.0,916000.0,2487000.0,71435000.0,-127244000.0,3092000.0,31202000.0,9518000.0,1630000.0,67738911.0,,8765000.0,97237000.0,237000.0,,67963000.0,9773000.0,42601000.0,118417000.0,,0.0,-47583000.0,67738911.0,-30007000.0,-127244000.0,3963000.0,288708000.0,-30007000.0,1742000.0,-30007000.0,318715000.0,217274000.0,164908000.0,33338000.0,118763000.0,-82373000.0
SSL.MI,2023-06-30,3M,EUR,6425000.0,5621000.0,-23779000.0,-8755000.0,499673.0,5226000.0,40643347.0,12478285.0,12478285.0,,12478285.0,40643347.0,-38039137.0,,60318267.0,,,,165019591.0,1249640.0,83527000.0,14376000.0,120034872.0,1249640.0,-38039137.0,21900000.0,499673.0,49462000.0,800560.0,4822000.0,96255872.0,-121566137.0,,31167450.0,9453778.0,1687213.0,67738911.0,1661.0,38289485.0,83527000.0,-43256815.0,5285955.0,29417610.0,60524872.0,37741116.0,72823754.0,2072000.0,0.0,-55640509.0,67738911.0,-38039137.0,-121566137.0,1154565.0,265769951.0,-38039137.0,,-38039137.0,303809088.0,205451684.0,138789497.0,36981144.0,98443075.0,-104701324.0
SSL.MI,2023-12-31,3M,EUR,9579000.0,21999000.0,-24799000.0,-8740000.0,,5258000.0,40643000.0,21518000.0,21518000.0,21485000.0,33000.0,40643000.0,2034000.0,8980000.0,109164000.0,1767000.0,1767000.0,3055000.0,194773000.0,766000.0,89226000.0,30739000.0,78859000.0,766000.0,3801000.0,21900000.0,,49462000.0,701000.0,4822000.0,54060000.0,-87192000.0,2959000.0,20441000.0,9071000.0,1764000.0,67738911.0,,1000.0,89226000.0,17000.0,1000.0,92678000.0,10337000.0,61012000.0,154677000.0,,0.0,-15567000.0,67738911.0,2034000.0,-87192000.0,814000.0,307648000.0,2034000.0,1767000.0,2034000.0,305614000.0,198483000.0,110841000.0,52420000.0,84568000.0,-85609000.0
