symbol,asOfDate,periodType,currencyCode,CapitalExpenditure,NetIncome
BDB.MI,2019-06-30,TTM,EUR,-8107000.0,
BDB.MI,2023-03-31,3M,EUR,,158486000.0
BDB.MI,2023-06-30,3M,EUR,,34859000.0
BDB.MI,2023-09-30,3M,EUR,,32330000.0
BDB.MI,2023-12-31,3M,EUR,,14686000.0
BDB.MI,2024-03-31,3M,EUR,,39140000.0
BDB.MI,2024-03-31,TTM,EUR,,121015000.0
