asOfDate,periodType,currencyCode,AccountsPayable,AccumulatedDepreciation,AdditionalPaidInCapital,Amortization,AvailableForSaleSecurities,BasicAverageShares,BasicEPS,BuildingsAndImprovements,CapitalStock,CashAndCashEquivalents,CashFinancial,CommonStock,CommonStockEquity,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DerivativeProductLiabilities,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,DividendsPayable,FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,GainOnSaleOfSecurity,GeneralAndAdministrativeExpense,Goodwill,GoodwillAndOtherIntangibleAssets,GrossPPE,ImpairmentOfCapitalAssets,InterestExpense,InterestIncome,InvestedCapital,InvestmentProperties,InvestmentinFinancialAssets,InvestmentsAndAdvances,LandAndImprovements,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,MachineryFurnitureEquipment,MarketCap,MinorityInterest,NetDebt,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeDiscontinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetPPE,NetTangibleAssets,NormalizedIncome,OperatingExpense,OperatingRevenue,OrdinarySharesNumber,OtherIntangibleAssets,OtherOperatingExpenses,OtherPayable,OtherProperties,OtherSpecialCharges,Payables,PretaxIncome,Receivables,ReconciledDepreciation,RestructuringAndMergernAcquisition,RetainedEarnings,SellingGeneralAndAdministration,ShareIssued,SpecialIncomeCharges,StockholdersEquity,TangibleBookValue,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalRevenue,TotalTaxPayable,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,TradingSecurities
2022-12-31,3M,EUR,27519000.0,-198860000.0,,,,,,233125000.0,,,55363000.0,,,,,,,,,18000.0,,,,15322000.0,,417989000.0,,,,,1805000.0,,,52553000.0,,,39933000.0,,,716175000.0,,,,,,,,,,,,,,,,,157754000.0,92378000.0,,,,23986000.0,,4211000.0,,,,-8825000.0,,,,,,,,,,,,,,-8879000.0,-8879000.0,
2023-03-31,3M,EUR,,,16145000.0,555000.0,854340000.0,134363049.0,1.179536,,70693000.0,2094430000.0,,70693000.0,1287371000.0,4764000.0,4209000.0,352000.0,134363049.0,1.179536,158486000.0,,116824000.0,-391000.0,37333000.0,15322000.0,20121000.0,,,42640000.0,123513000.0,2868585000.0,,1022328000.0,1027181000.0,,1581214000.0,4853000.0,,450116214.0,14000.0,,158486000.0,158486000.0,59802000.0,98684000.0,158486000.0,59802000.0,158486000.0,80873000.0,228270000.0,1267250000.0,59802000.0,88789000.0,185732000.0,134363049.0,4799000.0,1184000.0,,,,18039000.0,85292000.0,,4764000.0,,158486000.0,37333000.0,134363049.0,,1287371000.0,1267250000.0,0.0,25490000.0,0.298856,2351000.0,19805036000.0,2868585000.0,1581214000.0,1287385000.0,18517651000.0,185732000.0,18039000.0,,,19266000.0
2023-06-30,3M,EUR,22716000.0,,16145000.0,638000.0,3790606000.0,134363049.0,0.259439,150131000.0,70693000.0,2121024000.0,67933000.0,70693000.0,1296710000.0,5129000.0,4491000.0,4591000.0,134363049.0,0.259439,34859000.0,25000.0,112918000.0,-6842000.0,31649000.0,15322000.0,20839000.0,224837000.0,0.0,58064000.0,151750000.0,3313785000.0,1788000.0,3957949000.0,3962760000.0,55674000.0,2078525000.0,4811000.0,3528000.0,446085322.0,14000.0,,34859000.0,34859000.0,35118000.0,-259000.0,34859000.0,35118000.0,34859000.0,93686000.0,224837000.0,1275871000.0,35118000.0,88305000.0,148989000.0,134363049.0,5517000.0,2446000.0,245837000.0,15504000.0,,404997000.0,52152000.0,24222000.0,5129000.0,,193345000.0,31649000.0,134363049.0,0.0,1296710000.0,1275871000.0,0.0,17034000.0,0.326622,460244000.0,19293705000.0,3313785000.0,2078525000.0,1296724000.0,17996981000.0,148989000.0,136419000.0,0.0,0.0,13018000.0
2023-09-30,3M,EUR,,,16145000.0,1566000.0,829381000.0,,,,70693000.0,2565384000.0,,70693000.0,1326651000.0,5423000.0,3857000.0,0.0,,,32330000.0,,119904000.0,-707000.0,78216000.0,15322000.0,41162000.0,,,69346000.0,166242000.0,3516744000.0,,1018971000.0,1023773000.0,,2190093000.0,4802000.0,,444741692.0,14000.0,,32330000.0,32330000.0,32637000.0,-307000.0,32330000.0,32637000.0,32330000.0,96896000.0,224239000.0,1285489000.0,-89807317.89488,97714000.0,-15095000.0,134363049.0,25840000.0,-17071000.0,,,-101563000.0,18846000.0,44197000.0,,5423000.0,2449000.0,225675000.0,77629000.0,134363049.0,165814000.0,1326651000.0,1285489000.0,43369682.10512,11560000.0,0.261556,3000.0,19583174000.0,3516744000.0,2190093000.0,1326665000.0,18256509000.0,-15095000.0,18846000.0,165814000.0,165814000.0,21559000.0
2023-12-31,3M,EUR,31797000.0,-216163000.0,16145000.0,1285000.0,3776648000.0,,,252883000.0,70693000.0,1762679000.0,83370000.0,70693000.0,1354015000.0,7317000.0,6032000.0,16306000.0,,,14686000.0,25000.0,151377000.0,466000.0,-40107000.0,15322000.0,41619000.0,444367000.0,,80217000.0,179198000.0,4357609000.0,2790000.0,3953281000.0,3958296000.0,54528000.0,3062287000.0,5015000.0,39742000.0,489081498.0,14000.0,1240915000.0,14686000.0,14686000.0,14779000.0,-93000.0,14686000.0,14779000.0,14686000.0,98981000.0,228204000.0,1312396000.0,20313428.286499,120322000.0,177261000.0,134363049.0,26297000.0,53231000.0,189911000.0,97214000.0,6435000.0,270124000.0,22562000.0,28937000.0,7317000.0,-64846000.0,240361000.0,-38517000.0,134363049.0,-8449000.0,1354015000.0,1312396000.0,-2914571.713501,7783000.0,0.344961,476562000.0,18555255000.0,4357609000.0,3062287000.0,1354029000.0,17201226000.0,177261000.0,48391000.0,-8449000.0,-8449000.0,6203000.0
2024-03-31,3M,EUR,,,16145000.0,1075000.0,861104000.0,134363049.0,0.2913,,70693000.0,1091810000.0,,70693000.0,1393748000.0,5681000.0,4606000.0,9255000.0,134363049.0,0.2913,39140000.0,,158828000.0,1206000.0,41289000.0,,41459000.0,,,73491000.0,173309000.0,4095966000.0,,1051750000.0,1056807000.0,,2702218000.0,5057000.0,,627475438.0,24000.0,1610408000.0,39140000.0,39140000.0,39140000.0,0.0,39140000.0,39140000.0,39140000.0,99818000.0,229739000.0,1352289000.0,-45697964.306197,101481000.0,110673000.0,134363049.0,41459000.0,762000.0,,,,14837000.0,59282000.0,,5681000.0,,39140000.0,41289000.0,134363049.0,51100000.0,1393748000.0,1352289000.0,17362035.693803,20142000.0,0.339766,637000.0,18018525000.0,4095966000.0,2702218000.0,1393772000.0,16624753000.0,110673000.0,14837000.0,51100000.0,51100000.0,13603000.0
