symbol,asOfDate,periodType,currencyCode,Amortization,BasicAverageShares,BasicEPS,CostOfRevenue,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GrossProfit,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherOperatingExpenses,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,ResearchAndDevelopment,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalOtherFinanceCost,TotalRevenue
RLT.MI,2023-06-30,TTM,EUR,,42603842.0,-5e-06,,,,42603842.0,-5e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT.MI,2023-12-31,TTM,EUR,4324413.0,42337272.0,0.09,41299634.0,6064443.0,1740030.0,42337272.0,0.09,3557593.0,6392519.0,12456962.0,51051829.0,232611.0,232611.0,191540.0,191540.0,49840.0,3557593.0,3557593.0,3507753.0,3557593.0,3557593.0,3507753.0,-1398819.0,-1398819.0,12456962.0,3557593.0,43537225.0,7514604.0,92351463.0,1381418.0,0.0,6159908.0,41299634.0,6064443.0,5648888.0,0.0,2652155.0,0.24,84836859.0,1357748.0,92351463.0
