symbol,asOfDate,periodType,currencyCode,BeginningCashPosition,CapitalExpenditure,CapitalExpenditureReported,CashDividendsPaid,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,EndCashPosition,FinancingCashFlow,FreeCashFlow,InvestingCashFlow,NetIncome,NetIncomeFromContinuingOperations,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetOtherInvestingChanges,OperatingCashFlow,OtherCashAdjustmentOutsideChangeinCash,OtherNonCashItems,PensionAndEmployeeBenefitExpense,ProvisionandWriteOffofAssets,PurchaseOfInvestment
UBM.MI,2019-12-31,12M,EUR,1341000.0,-63000.0,-63000.0,,-564000.0,32000.0,654000.0,-7000.0,-4000.0,675000.0,-564000.0,776000.0,1000.0,-468000.0,-160000.0,-1098000.0,-1043000.0,-97000.0,1000.0,1000.0,,-405000.0,-1000.0,,,-36000.0,-97000.0
UBM.MI,2020-12-31,12M,EUR,776000.0,-108000.0,-108000.0,-21000.0,-733000.0,12000.0,-511000.0,142000.0,-370000.0,-727000.0,-734000.0,43000.0,-21000.0,-609000.0,-212000.0,222000.0,275000.0,-1000.0,,,-103000.0,-501000.0,1000.0,3000.0,-52000.0,,-1000.0
UBM.MI,2023-12-31,12M,EUR,,,,,,,,,,,,,,,,-4796847.0,,,,,,,,,,,
UBM.MI,2023-12-31,TTM,EUR,,,,,,,,,,,,,,,,-4796847.0,,,,,,,,,,,
