asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,Amortization,AverageDilutionEarnings,BasicAverageShares,BasicEPS,BeginningCashPosition,CapitalExpenditure,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashDividendsPaid,CashFinancial,ChangeInAccruedExpense,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStock,CommonStockEquity,ConstructionInProgress,CostOfRevenue,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,DeferredTax,Depreciation,DepreciationAndAmortization,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DerivativeProductLiabilities,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,DividendReceivedCFO,EBIT,EBITDA,EffectOfExchangeRateChanges,EndCashPosition,FinancialAssets,FinancingCashFlow,FinishedGoods,FreeCashFlow,GainLossOnInvestmentSecurities,GeneralAndAdministrativeExpense,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,GrossProfit,ImpairmentOfCapitalAssets,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,InterestPaidCFO,Inventory,InvestedCapital,InvestingCashFlow,InvestmentinFinancialAssets,InvestmentsInOtherVenturesUnderEquityMethod,InvestmentsinAssociatesatCost,InvestmentsinSubsidiariesatCost,IssuanceOfDebt,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermDebtIssuance,LongTermDebtPayments,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,MinorityInterests,NetBusinessPurchaseAndSale,NetDebt,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeFromContinuingOperations,NetIncomeIncludingNoncontrollingInterests,NetIntangiblesPurchaseAndSale,NetInterestIncome,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetNonOperatingInterestIncomeExpense,NetOtherFinancingCharges,NetOtherInvestingChanges,NetPPE,NetPPEPurchaseAndSale,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NormalizedEBITDA,NormalizedIncome,OperatingCashFlow,OperatingExpense,OperatingIncome,OperatingRevenue,OrdinarySharesNumber,OtherCashAdjustmentOutsideChangeinCash,OtherCurrentLiabilities,OtherIntangibleAssets,OtherNonCashItems,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherOperatingExpenses,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,OtherSpecialCharges,OtherunderPreferredStockDividend,Payables,PrepaidAssets,PretaxIncome,Properties,ProvisionandWriteOffofAssets,PurchaseOfBusiness,PurchaseOfIntangibles,PurchaseOfInvestment,PurchaseOfPPE,RawMaterials,ReconciledCostOfRevenue,ReconciledDepreciation,RentAndLandingFees,RentExpenseSupplemental,RepaymentOfDebt,ResearchAndDevelopment,RestructuringAndMergernAcquisition,RetainedEarnings,SaleOfBusiness,SaleOfIntangibles,SaleOfInvestment,SaleOfPPE,SellingGeneralAndAdministration,ShareIssued,SpecialIncomeCharges,StockholdersEquity,TangibleBookValue,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TaxesReceivable,TaxesRefundPaid,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalExpenses,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalOperatingIncomeAsReported,TotalOtherFinanceCost,TotalRevenue,TotalTaxPayable,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,TradeandOtherPayablesNonCurrent,TreasurySharesNumber,TreasuryStock,WorkInProcess,WorkingCapital,WriteOff
2021-12-31,12M,EUR,43460000.0,29624000.0,,31165000.0,-8172000.0,1511000.0,,194811457.0,0.000698,35044000.0,-16178000.0,16589000.0,106780000.0,50140000.0,53577000.0,,50140000.0,13528000.0,15096000.0,-1002000.0,7677000.0,-6805000.0,-22274000.0,-8875000.0,15097000.0,106780000.0,130790000.0,5764000.0,57248000.0,111072000.0,2801000.0,47742000.0,50543000.0,171696000.0,-3792000.0,16576000.0,16576000.0,16576000.0,15065000.0,3584000.0,194811457.0,0.000698,136000.0,,134000.0,16710000.0,0.0,50140000.0,,28967000.0,3036000.0,-10748000.0,,15905000.0,20730000.0,25186000.0,37796000.0,320163000.0,31238000.0,333000.0,3790000.0,3790000.0,79000.0,79000.0,-3711000.0,6372000.0,304807000.0,-19300000.0,,331000.0,1192000.0,2000.0,,13788000.0,126275000.0,140063000.0,,,1525000.0,6219000.0,4200000.0,4762000.0,,,123877000.0,136000.0,136000.0,136000.0,136000.0,136000.0,134000.0,136000.0,-4563000.0,-3711000.0,-3122000.0,28656000.0,28656000.0,-3711000.0,-215000.0,,320163000.0,-11615000.0,105604000.0,4488000.0,,6146000.0,17155000.0,474200.0,5430000.0,30595000.0,643000.0,88486000.0,194667169.0,-1000.0,7201000.0,4456000.0,3163000.0,2189000.0,2000.0,6994000.0,12625000.0,1371000.0,11159000.0,3437000.0,34000.0,0.0,60064000.0,4108000.0,-3656000.0,308828000.0,4125000.0,,,,,1616000.0,57248000.0,16576000.0,2513000.0,2513000.0,,429000.0,,-25813000.0,,,,,15905000.0,194667169.0,-445000.0,130790000.0,105604000.0,-106800.0,-3792000.0,0.24,6232000.0,0.0,465137000.0,257065000.0,190606000.0,135552000.0,87843000.0,329585000.0,354063000.0,157889000.0,198000.0,,88486000.0,3979000.0,-445000.0,-445000.0,1875000.0,,281000.0,1720000.0,-60624000.0,78000.0
2022-12-31,12M,EUR,53304236.0,49884512.0,-172669947.0,45083011.0,-7160242.0,1679920.0,-7249.0,110061082.0,-0.051,50140486.0,-11018670.0,13318192.0,157200000.0,57686087.0,61946816.0,,57686087.0,-25259.0,7589673.0,-722650.0,-1565104.0,8480465.0,-19957633.0,-13790180.0,7589673.0,157200000.0,192152375.0,36058000.0,135857322.0,136882225.0,2362531.0,24537640.0,26900171.0,160761308.0,-566448.0,18221060.0,18221060.0,18221060.0,16541140.0,8954878.0,194811457.0,-0.051,-5628854.0,0.0,-397402.0,17823658.0,-44072.0,57686087.0,,9755054.0,3103450.0,-13237199.0,-11954873.0,25642000.0,25389527.0,31233338.0,57044754.0,532744473.0,59710215.0,97458.0,5511703.0,5511703.0,3528004.0,3528004.0,-4566756.0,7804784.0,362803962.0,53148.0,4241419.0,13517213.0,12840000.0,347000.0,33966420.0,10955661.0,146113947.0,157069608.0,33966420.0,-39712249.0,13517213.0,18003574.0,27114616.0,3632205.0,-278948.0,-1581000.0,112965500.0,-5621605.0,-5621605.0,-5342657.0,-5621605.0,-5621605.0,-5342657.0,-5342657.0,-3069757.0,-3530107.0,637352.0,-5745829.0,-5745829.0,-3530107.0,15500883.0,-1.0,360074526.0,4066554.0,160919037.0,17564744.0,18635189.0,6330717.0,7606625.0,-14859231.150945,-2218529.0,72954096.0,-13243881.0,195567537.0,194667169.0,1000.0,8865924.0,5843811.0,1857843.0,4482061.0,-3000.0,21485102.0,17198931.0,12509552.0,7864382.0,4260729.0,-10971111.0,0.0,75685396.0,3323928.0,-5909105.0,457062305.0,14357414.0,-1581000.0,-3097220.0,-383457.0,-7921450.0,1993829.0,135857322.0,18221060.0,4688000.0,4688000.0,-39712249.0,501000.0,0.0,-39396079.0,,27463.0,1020809.0,11988004.0,25642000.0,194667169.0,10217033.0,192152375.0,160919037.0,979406.849055,-566448.0,0.09586,6057803.0,0.0,569054947.0,338266322.0,183969779.0,195784580.0,208811418.0,373270367.0,432172722.0,212509059.0,-2617170.0,1546408.0,195567537.0,5182229.0,10217033.0,10217033.0,3515093.0,,281323.0,2707505.0,-23879083.0,656620.0
2023-12-31,12M,EUR,53350588.0,49244479.0,-190443135.0,52353554.0,,1402202.0,1718824.0,,,57686087.0,-24182209.0,17997768.0,194811457.0,59120016.0,59304121.0,-490000.0,59120016.0,6972977.0,1560569.0,1316679.0,-3436047.0,-2463188.0,-2697813.0,-307392.0,1560569.0,194811457.0,236765871.0,43269863.0,156994974.0,139463212.0,3271810.0,25667397.0,28939207.0,169311977.0,5667435.0,19141411.0,19141411.0,19126644.0,17724442.0,9018706.0,,,2290351.0,7552557.0,16400723.0,35542134.0,-126640.0,59120016.0,2778131.0,5053049.0,2995421.0,-7498484.0,,,26865223.0,32253415.0,,561441881.0,73038863.0,1178390.0,10001735.0,10001735.0,289872.0,289872.0,-8186609.0,7795552.0,371808724.0,-20176205.0,,13111865.0,,30000.0,11420781.0,14725958.0,109375456.0,124101414.0,11420781.0,-21206375.0,13141865.0,5514137.0,30340845.0,5073599.0,-160026.0,1593916.0,75922837.0,571527.0,571527.0,731553.0,571527.0,571527.0,731553.0,731553.0,-987400.0,-8838169.0,2106168.0,-9785594.0,-9785594.0,-8838169.0,15328643.0,,370998746.0,-22888889.0,204512456.0,14335251.0,18527648.0,7457874.0,38953422.0,3164105.88,16683725.0,60968923.0,12069940.0,230033837.0,194667169.0,,16337611.0,5388192.0,-9536089.0,5282934.0,174595.0,1208123.0,18069378.0,16078211.0,11424928.0,184105.0,230100.0,0.0,75266355.0,5568163.0,6398988.0,471752962.0,2836695.0,,-987400.0,-325.0,-23194809.0,1810839.0,156994974.0,19141411.0,,,-21206375.0,,134695.0,-46153605.0,1593916.0,,2106493.0,305920.0,,194811457.0,-3411288.0,236765871.0,204512456.0,-818709.12,5667435.0,0.24,6125969.0,-633339.0,578999532.0,346141327.0,153040621.0,241839470.0,217963897.0,337160062.0,439536320.0,167848085.0,15210060.0,-873694.0,230033837.0,3846389.0,-3411288.0,-3411288.0,3053711.0,144288.0,281323.0,2989292.0,-29848765.0,1868103.0
