asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AllowanceForDoubtfulAccountsReceivable,AvailableForSaleSecurities,BasicAverageShares,BasicEPS,BeginningCashPosition,CapitalExpenditure,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInOtherCurrentLiabilities,ChangeInPayable,ChangeInPrepaidAssets,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStock,CommonStockEquity,ConstructionInProgress,CostOfRevenue,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredAssets,CurrentLiabilities,DeferredTax,Depreciation,DepreciationAndAmortization,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,EffectOfExchangeRateChanges,EndCashPosition,EnterpriseValue,FinancingCashFlow,FreeCashFlow,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,GrossProfit,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,InterestPaidCFF,Inventory,InvestedCapital,InvestingCashFlow,InvestmentinFinancialAssets,InvestmentsInOtherVenturesUnderEquityMethod,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermDebtPayments,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MarketCap,MinorityInterest,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeFromContinuingOperations,NetIncomeIncludingNoncontrollingInterests,NetIntangiblesPurchaseAndSale,NetInterestIncome,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetNonOperatingInterestIncomeExpense,NetOtherFinancingCharges,NetOtherInvestingChanges,NetPPE,NetPPEPurchaseAndSale,NetTangibleAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,NormalizedEBITDA,NormalizedIncome,OperatingCashFlow,OperatingExpense,OperatingIncome,OperatingRevenue,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherIntangibleAssets,OtherNonCashItems,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherOperatingExpenses,OtherPayable,OtherProperties,OtherReceivables,OtherunderPreferredStockDividend,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PretaxIncome,Properties,ProvisionandWriteOffofAssets,PurchaseOfIntangibles,PurchaseOfInvestment,PurchaseOfPPE,ReconciledCostOfRevenue,ReconciledDepreciation,RepaymentOfDebt,RetainedEarnings,SaleOfIntangibles,SaleOfPPE,ShareIssued,StockholdersEquity,TangibleBookValue,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TaxesReceivable,TaxesRefundPaid,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalExpenses,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalOperatingIncomeAsReported,TotalRevenue,TotalTaxPayable,TradeandOtherPayablesNonCurrent,TreasurySharesNumber,TreasuryStock,WorkingCapital
2023-01-31,3M,EUR,,,,,12007000.0,47597000.0,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47597000.0,-0.02,,,,,,,,,,,,,,,,,-262000.0,,,,12007000.0,,,,,,,,,,,,,,,,,,,386000.0,,,,,,-363000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386000.0,11000.0,,,,,,,,0.0,,,,,,,,,-747000.0,,,,172991.0,,
2023-04-30,3M,EUR,4450000.0,1532000.0,,-797000.0,,,,7854000.0,-798000.0,,42969000.0,5834000.0,5834000.0,-2020000.0,3000.0,-1354000.0,586000.0,-404000.0,2449000.0,628000.0,1894000.0,-2020000.0,42969000.0,59103000.0,,6805000.0,13467000.0,,,,,20692000.0,0.0,580000.0,580000.0,580000.0,580000.0,,,-2421000.0,-2906000.0,-2326000.0,0.0,5834000.0,30756012.0,-254000.0,-1369000.0,2519000.0,2329000.0,,-750000.0,-349000.0,-349000.0,37000.0,37000.0,254000.0,401000.0,59103000.0,-1195000.0,,1000.0,,,,-871000.0,1000.0,1733000.0,,39125012.0,2085000.0,94000.0,-2421000.0,-2421000.0,-2515000.0,-2421000.0,-2421000.0,-2552000.0,-2515000.0,-401000.0,386000.0,,-871000.0,-871000.0,386000.0,,,58367000.0,-794000.0,56584000.0,3322000.0,682000.0,,-2326000.0,-2421000.0,-571000.0,2193000.0,-2943000.0,6055000.0,47597339.0,3331000.0,13368000.0,,-577000.0,818000.0,2369000.0,1613000.0,,,,0.0,5527000.0,,-2557000.0,,84000.0,,,-783000.0,6805000.0,580000.0,-871000.0,-543000.0,,,47597339.0,59103000.0,56584000.0,0.0,-42000.0,0.016425,2369000.0,,92947000.0,59103000.0,,61188000.0,8998000.0,31759000.0,79480000.0,11067000.0,,6055000.0,1077000.0,,,1622000.0,-7225000.0
2023-07-31,3M,EUR,12407000.0,4454000.0,,,,,,5834000.0,-1296000.0,,42969000.0,17349000.0,17349000.0,11515000.0,-662000.0,-1555000.0,8778000.0,7744000.0,-765000.0,-2884000.0,10676000.0,11515000.0,42969000.0,60639000.0,,15635000.0,30217000.0,,,,,35805000.0,0.0,722000.0,722000.0,722000.0,722000.0,,,1664000.0,1927000.0,2649000.0,0.0,17349000.0,31231986.0,-610000.0,12125000.0,2303000.0,,,4521000.0,106000.0,106000.0,202000.0,202000.0,-56000.0,1059000.0,60639000.0,-1296000.0,,1000.0,,,,-554000.0,1000.0,1728000.0,,39600986.0,2206000.0,-122000.0,1664000.0,1664000.0,1786000.0,1664000.0,1664000.0,1786000.0,1786000.0,-4000.0,96000.0,0.0,-554000.0,-554000.0,96000.0,,,58760000.0,-1292000.0,58336000.0,3434000.0,702000.0,,2649000.0,1664000.0,13421000.0,2796000.0,1725000.0,20156000.0,47597339.0,5535000.0,20747000.0,,77000.0,718000.0,2417000.0,2074000.0,,,,0.0,13596000.0,,1821000.0,,160000.0,-4000.0,0.0,-1292000.0,15635000.0,722000.0,-554000.0,1224000.0,,,47597339.0,60639000.0,58336000.0,0.0,35000.0,0.01922,1820000.0,,109697000.0,60639000.0,,62845000.0,18431000.0,46852000.0,79480000.0,11047000.0,,20156000.0,1189000.0,,,1622000.0,-5588000.0
2023-10-31,3M,EUR,7458000.0,1497000.0,-120352000.0,-434000.0,11992000.0,,,17349000.0,-215000.0,391000.0,42969000.0,12645000.0,12645000.0,-4704000.0,769000.0,4078000.0,-9314000.0,-4836000.0,-3680000.0,2949000.0,-10057000.0,-4704000.0,42969000.0,65219000.0,99000.0,15778000.0,18438000.0,286000.0,1215000.0,1501000.0,1583000.0,18366000.0,477000.0,918000.0,918000.0,918000.0,918000.0,,,4638000.0,5013000.0,5931000.0,0.0,12645000.0,27804977.0,-151000.0,-4389000.0,2267000.0,1931000.0,178402000.0,11122000.0,-255000.0,-255000.0,-27000.0,-27000.0,56000.0,379000.0,68338000.0,-379000.0,11992000.0,1000.0,105000.0,1904000.0,2009000.0,257000.0,1000.0,1766000.0,18956000.0,36173977.0,2398000.0,-183000.0,4638000.0,4638000.0,4821000.0,4638000.0,4638000.0,4821000.0,4821000.0,,-46000.0,,257000.0,257000.0,-46000.0,,,58051000.0,-234000.0,62952000.0,3542000.0,665000.0,750000.0,5931000.0,4638000.0,-4174000.0,5415000.0,5707000.0,26900000.0,47597339.0,441000.0,5706000.0,2267000.0,-15000.0,-3000.0,2490000.0,-1258000.0,642000.0,34247000.0,262000.0,0.0,9019000.0,893000.0,5268000.0,125100000.0,-75000.0,,,-234000.0,15778000.0,918000.0,257000.0,5759000.0,,,47770330.0,65219000.0,62952000.0,0.0,447000.0,0.084852,1631000.0,,96758000.0,67123000.0,3510000.0,67617000.0,21193000.0,29141000.0,78320000.0,10775000.0,5235000.0,26900000.0,919000.0,303000.0,172991.0,1622000.0,72000.0
2024-01-31,3M,EUR,5392000.0,2045000.0,,,,47597000.0,-0.02,12645000.0,-304000.0,,42969000.0,9255000.0,9255000.0,-3391000.0,-67000.0,-598000.0,1236000.0,-2066000.0,565000.0,-548000.0,-1478000.0,-3391000.0,42969000.0,63830000.0,,6529000.0,16318000.0,,1249000.0,1249000.0,,18445000.0,-16000.0,670000.0,670000.0,670000.0,670000.0,47597000.0,-0.02,-1179000.0,-1223000.0,-553000.0,0.0,9254000.0,30375233.0,-446000.0,-2608000.0,2222000.0,,,990000.0,73000.0,73000.0,281000.0,281000.0,,446000.0,67161000.0,-641000.0,,1000.0,,2082000.0,2082000.0,-375000.0,1000.0,1747000.0,,38744233.0,2293000.0,101000.0,-1179000.0,-1179000.0,-1280000.0,-1179000.0,-1179000.0,-1280000.0,-1280000.0,-37000.0,208000.0,,-375000.0,-375000.0,208000.0,67000.0,-343000.0,57668000.0,-261000.0,61608000.0,3570000.0,667000.0,,-553000.0,-1179000.0,-2304000.0,2493000.0,-1503000.0,7519000.0,47597339.0,2720000.0,11033000.0,,-208000.0,663000.0,1835000.0,1374000.0,,,,0.0,6163000.0,,-1296000.0,,8000.0,-38000.0,,-266000.0,6529000.0,670000.0,-375000.0,4580000.0,1000.0,5000.0,47597339.0,63830000.0,61608000.0,0.0,-16000.0,0.012346,1852000.0,0.0,94469000.0,65912000.0,3331000.0,66123000.0,9022000.0,28346000.0,78151000.0,9901000.0,-1504000.0,7519000.0,771000.0,,,1622000.0,-2127000.0
2024-04-30,3M,EUR,4919000.0,1948000.0,,,,,,9254000.0,-595000.0,,42969000.0,8085000.0,8085000.0,-1169000.0,88000.0,-1158000.0,645000.0,-694000.0,3312000.0,57000.0,2250000.0,-1169000.0,42969000.0,61091000.0,,8132000.0,16095000.0,,,,,22274000.0,-13000.0,499000.0,499000.0,499000.0,499000.0,,,-2548000.0,-2283000.0,-1784000.0,0.0,8085000.0,33296207.0,-422000.0,-1052000.0,2084000.0,,,-1528000.0,411000.0,411000.0,729000.0,729000.0,,360000.0,61091000.0,-290000.0,,1000.0,,,,-234000.0,1000.0,1657000.0,,39220207.0,1959000.0,133000.0,-2548000.0,-2548000.0,-2681000.0,-2548000.0,-2548000.0,-2681000.0,-2681000.0,-42000.0,318000.0,,-234000.0,-234000.0,318000.0,-32000.0,491000.0,60444000.0,-559000.0,59007000.0,3533000.0,666000.0,,-1784000.0,-2548000.0,-457000.0,1485000.0,-3013000.0,6604000.0,47597339.0,3599000.0,14914000.0,,-318000.0,680000.0,1925000.0,1435000.0,,,,0.0,5714000.0,,-2694000.0,,1000.0,-41000.0,,-554000.0,8132000.0,499000.0,-234000.0,1899000.0,-1000.0,-5000.0,47770330.0,61091000.0,59007000.0,0.0,-13000.0,0.004826,2103000.0,-196000.0,97076000.0,61091000.0,,63050000.0,9617000.0,34026000.0,80981000.0,11752000.0,-3012000.0,6604000.0,795000.0,,172991.0,1622000.0,-6179000.0
