symbol,asOfDate,periodType,currencyCode,Amortization,BasicAverageShares,BasicEPS,CostOfRevenue,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GrossProfit,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeDiscontinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherOperatingExpenses,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,RentAndLandingFees,RentExpenseSupplemental,SellingAndMarketingExpense,SellingGeneralAndAdministration,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalOperatingIncomeAsReported,TotalOtherFinanceCost,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,WriteOff
NTW.MI,2023-06-30,TTM,EUR,,30816116.0,-0.052,,,,30816116.0,-0.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTW.MI,2023-12-31,TTM,EUR,997000.0,,,18740000.0,1788000.0,791000.0,,,-13390000.0,-13284000.0,-11496000.0,10025000.0,139000.0,139000.0,13000.0,13000.0,29000.0,-13390000.0,-13390000.0,-13419000.0,0.0,-13390000.0,-13390000.0,-13419000.0,-353000.0,-353000.0,-10709000.0,-12603234.522834,22308000.0,-12283000.0,28765000.0,12224000.0,0.0,-13423000.0,18740000.0,1736000.0,248000.0,248000.0,212000.0,212000.0,-787000.0,-234.522834,-4000.0,0.000298,41048000.0,-13070000.0,227000.0,28765000.0,-787000.0,-787000.0,787000.0
