symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AllowanceForDoubtfulAccountsReceivable,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,FinishedGoods,FixedAssetsRevaluationReserve,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,Inventory,InvestedCapital,InvestmentsInOtherVenturesUnderEquityMethod,InvestmentsinSubsidiariesatCost,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,MachineryFurnitureEquipment,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherIntangibleAssets,OtherInventories,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,Payables,Properties,RawMaterials,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TradeandOtherPayablesNonCurrent,TreasurySharesNumber,WorkInProcess,WorkingCapital
VLS.MI,2019-12-31,12M,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.0,,,,,,,,,,,,,,,,,,,,,,,
VLS.MI,2020-12-31,12M,EUR,15277564.0,6944151.0,-26146000.0,-1014000.0,1529000.0,1912604.0,3524533.0,29568134.0,29568134.0,29566000.0,2000.0,3524533.0,75011644.0,0.0,46331265.0,542782.0,2603000.0,3145782.0,22293178.0,321057.0,6933000.0,26423946.0,17453307.0,44581307.0,7958000.0,37613000.0,8528435.0,81165867.0,9000.0,110000.0,8846000.0,1369822.0,3551223.0,4921045.0,119000.0,24571000.0,11467000.0,30430337.0,0.0,395002.0,328432.0,10680402.0,-455.0,243.0,27128000.0,435.0,-149.0,,2820000.0,2667000.0,539000.0,18799096.0,0.0,1452000.0,7654110.0,10680402.0,75011644.0,30430337.0,752000.0,102911855.0,78562867.0,8066827.0,75011644.0,27900211.0,56580590.0,5607033.0,701532.0,290986.0,,143000.0,24038087.0
VLS.MI,2021-12-31,12M,EUR,16063366.0,8318104.0,-27355000.0,-1069000.0,2428000.0,2350425.0,3533773.0,41245097.0,41245097.0,41242000.0,3000.0,3533773.0,78635801.0,0.0,59686026.0,639027.0,3833000.0,4472027.0,24792313.0,301227.0,7094000.0,29377470.0,17453307.0,44011307.0,9387000.0,39640000.0,9079435.0,92187801.0,9000.0,390000.0,8646000.0,1711398.0,9719000.0,11430398.0,399000.0,25795000.0,12285000.0,34624494.0,808824.0,380048.0,41000.0,10708402.0,390.0,-676.0,26558000.0,435.0,186.0,-79.0,2966000.0,2771000.0,398000.0,19995735.0,0.0,1672000.0,7364511.0,10708402.0,78635801.0,34624494.0,645000.0,116452519.0,88354801.0,15902425.0,78635801.0,37816718.0,56766493.0,13024405.0,966369.0,405214.0,,313000.0,34893713.0
VLS.MI,2022-12-31,12M,EUR,23065173.0,13128169.0,-29202000.0,-1179000.0,2442000.0,2369774.0,3554101.0,19706887.0,19706887.0,19703000.0,4000.0,3554101.0,81933538.0,690000.0,46623302.0,667955.0,2310444.0,2978399.0,30346969.0,156936.0,8861000.0,29377470.0,17453307.0,43640307.0,14307000.0,42286000.0,12175538.0,91652982.0,9000.0,420000.0,8897000.0,1701819.0,7409000.0,9110819.0,429000.0,26811000.0,13084000.0,38293231.0,2368594.0,284213.0,19517865.0,10770002.0,-292.0,-264.0,26187000.0,-462.0,749421.0,-238.0,3242000.0,3446000.0,394000.0,27130898.0,0.0,2620000.0,7975653.0,10770002.0,81933538.0,38293231.0,1219000.0,124043895.0,89342538.0,12089218.0,81933538.0,42110357.0,77420593.0,11763388.0,823725.0,,0.0,695000.0,16276333.0
VLS.MI,2023-12-31,12M,EUR,21153147.0,13261072.0,-31044000.0,-1151000.0,2541000.0,2157710.0,3554101.0,17970778.0,17970778.0,17969000.0,2000.0,3554101.0,85046078.0,6287000.0,42913004.0,763161.0,1684574.0,2447735.0,27571813.0,206004.0,7374000.0,29377470.0,17453307.0,43121307.0,14412000.0,49432000.0,9998531.0,92454652.0,9000.0,554000.0,9008000.0,1394549.0,5724000.0,7118549.0,563000.0,27840000.0,18388000.0,41924771.0,3926990.0,268430.0,18947029.0,10770002.0,-377.0,-180.0,25668000.0,-469.0,-106.0,374.0,3256000.0,3756000.0,267000.0,24787254.0,0.0,2502000.0,7223996.0,10770002.0,85046078.0,41924771.0,1416000.0,123932234.0,90770078.0,9566284.0,85046078.0,38886156.0,81019230.0,11314343.0,378107.0,,,123000.0,15341191.0
