symbol,asOfDate,periodType,currencyCode,AmortizationCashFlow,BeginningCashPosition,CapitalExpenditure,CashDividendsPaid,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInOtherCurrentLiabilities,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStockDividendPaid,CommonStockIssuance,CommonStockPayments,DeferredTax,Depreciation,DepreciationAndAmortization,DividendPaidCFO,DividendReceivedCFO,EffectOfExchangeRateChanges,EndCashPosition,FinancingCashFlow,FreeCashFlow,GainLossOnInvestmentSecurities,GainLossOnSaleOfPPE,InterestPaidCFF,InterestPaidCFO,InvestingCashFlow,IssuanceOfCapitalStock,IssuanceOfDebt,LongTermDebtIssuance,LongTermDebtPayments,NetBusinessPurchaseAndSale,NetCommonStockIssuance,NetForeignCurrencyExchangeGainLoss,NetIncome,NetIncomeFromContinuingOperations,NetIntangiblesPurchaseAndSale,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetOtherFinancingCharges,NetOtherInvestingChanges,NetPPEPurchaseAndSale,NetShortTermDebtIssuance,OperatingCashFlow,OtherCashAdjustmentOutsideChangeinCash,OtherNonCashItems,PensionAndEmployeeBenefitExpense,ProvisionandWriteOffofAssets,PurchaseOfBusiness,PurchaseOfIntangibles,PurchaseOfInvestment,PurchaseOfPPE,RepaymentOfDebt,RepurchaseOfCapitalStock,SaleOfInvestment,SaleOfPPE,ShortTermDebtIssuance,ShortTermDebtPayments,StockBasedCompensation,TaxesRefundPaid
ZV.MI,2019-12-31,12M,EUR,,,,,,,,,,,,,,,,,,,,,,,,,10213000.0,,,,,,,77940000.0,-31882000.0,,,,,,,,,46058000.0,,,,49556000.0,,73000.0,,-230000.0,,,,,,,,2000.0,,,,,-13536000.0
ZV.MI,2020-12-31,12M,EUR,,44805000.0,-36083000.0,-37005000.0,5349000.0,-6016000.0,3022000.0,-929000.0,-832000.0,2797000.0,-1958000.0,6615000.0,-37005000.0,,,-3721000.0,41971000.0,41971000.0,,,-1266000.0,50154000.0,-38802000.0,43476000.0,12377000.0,64000.0,-1782000.0,,-34142000.0,,33543000.0,33543000.0,-33650000.0,0.0,,3044000.0,45627000.0,45627000.0,-886000.0,0.0,-107000.0,-107000.0,92000.0,1119000.0,-34375000.0,,79559000.0,,2308000.0,,-1137000.0,0.0,-886000.0,,-35197000.0,-33650000.0,,0.0,822000.0,,,,
ZV.MI,2021-12-31,12M,EUR,,50154000.0,-74449000.0,-31569000.0,67382000.0,2988000.0,-730000.0,2163000.0,10277000.0,-18838000.0,-4140000.0,67319000.0,-31569000.0,0.0,0.0,10674000.0,43212000.0,43212000.0,14590000.0,14590000.0,63000.0,117536000.0,28192000.0,28783000.0,14590000.0,-30000.0,-1217000.0,-1518000.0,-64105000.0,0.0,114481000.0,114481000.0,-45902000.0,0.0,0.0,-312000.0,60019000.0,60203000.0,-916000.0,0.0,68579000.0,68579000.0,77000.0,10284000.0,-73473000.0,,103232000.0,,599000.0,,-331000.0,0.0,-916000.0,,-73533000.0,-45902000.0,0.0,0.0,60000.0,,,1046000.0,
ZV.MI,2022-12-31,12M,EUR,,117536000.0,-67790000.0,-35497000.0,-26101000.0,-18609000.0,-18972000.0,2338000.0,29061000.0,-35740000.0,-41922000.0,-25651000.0,-35497000.0,6922000.0,-1726000.0,4736000.0,48836000.0,48836000.0,13685000.0,13685000.0,-450000.0,91435000.0,-19065000.0,-3704000.0,,-392000.0,-1819000.0,-9597000.0,-70672000.0,6922000.0,97000000.0,97000000.0,-79844000.0,-85000.0,5196000.0,380000.0,86596000.0,86891000.0,-1437000.0,-85000.0,17156000.0,17156000.0,216000.0,-5253000.0,-63897000.0,17156000.0,64086000.0,,-9294000.0,,-720000.0,-85000.0,-1437000.0,-85000.0,-66353000.0,-79844000.0,-1726000.0,,2456000.0,97000000.0,-79844000.0,795000.0,
ZV.MI,2023-12-31,12M,EUR,1460000.0,91435000.0,-37648000.0,-53261000.0,-23441000.0,-45511000.0,8663000.0,3424000.0,-9960000.0,15333000.0,-28051000.0,-25929000.0,-53261000.0,2681000.0,-4640000.0,18215000.0,53010000.0,54470000.0,,22640000.0,2488000.0,67994000.0,-130062000.0,112502000.0,,-19000.0,-10701000.0,-3171000.0,-46017000.0,2681000.0,35000000.0,,,,-1959000.0,-1625000.0,122392000.0,122580000.0,-574000.0,-6784000.0,-59288000.0,,255000.0,-1698000.0,-36961000.0,-59288000.0,150150000.0,,10622000.0,,-77000.0,,-574000.0,-6784000.0,-37074000.0,-94288000.0,-4640000.0,,113000.0,35000000.0,-94288000.0,451000.0,
ZV.MI,2024-03-31,TTM,EUR,,103777000.0,-44600000.0,,-28267000.0,-35921000.0,19002000.0,-2627000.0,-7430000.0,22731000.0,-4245000.0,-30885000.0,-53261000.0,414000.0,-4575000.0,15303000.0,52976000.0,54436000.0,,29684000.0,2618000.0,72892000.0,-139152000.0,113652000.0,,-15000.0,-11334000.0,,-49985000.0,414000.0,11024000.0,,,,-4161000.0,-1656000.0,104528000.0,104540000.0,-747000.0,,-65640000.0,,638000.0,1290000.0,-43744000.0,-65640000.0,158252000.0,,10142000.0,,-160000.0,,-747000.0,,-43853000.0,-76664000.0,-4575000.0,,109000.0,11024000.0,-76664000.0,445000.0,
