symbol,asOfDate,periodType,currencyCode,BasicEPS,CostOfRevenue,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GrossProfit,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherOperatingExpenses,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,RentAndLandingFees,RentExpenseSupplemental,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalRevenue
BELL.MI,2023-06-30,TTM,EUR,0.129866,,,,0.129866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELL.MI,2023-12-31,TTM,EUR,0.037977,9521000.0,278000.0,278000.0,0.037977,241000.0,371000.0,649000.0,2626000.0,241000.0,241000.0,242000.0,241000.0,241000.0,242000.0,-143000.0,-143000.0,649000.0,241000.0,2255000.0,371000.0,12147000.0,777000.0,0.0,228000.0,9521000.0,235237.0,418000.0,418000.0,0.0,-14000.0,0.24,11776000.0,12147000.0
