symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,CurrentAssets,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,FinishedGoods,FixedAssetsRevaluationReserve,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,Inventory,InvestedCapital,InvestmentinFinancialAssets,InvestmentsInOtherVenturesUnderEquityMethod,InvestmentsinAssociatesatCost,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,RawMaterials,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,WorkingCapital
BELL.MI,2020-12-31,12M,EUR,1318000.0,1179000.0,,-18000.0,34000.0,,,,,34000.0,1371000.0,3600000.0,324000.0,324000.0,2149000.0,2361000.0,,0.0,1197000.0,1058000.0,2403000.0,2803000.0,0.0,,,1108000.0,1108000.0,,,25000.0,1432000.0,1059000.0,1371000.0,0.0,80000.0,6346000.0,3000.0,27000.0,,,1000.0,-49000.0,58000.0,1033000.0,,,1510000.0,42000.0,-3000.0,6346000.0,1371000.0,1371000.0,15000.0,4659000.0,2479000.0,1432000.0,1371000.0,3288000.0,1059000.0,1139000.0,134000.0,1451000.0
BELL.MI,2021-12-31,12M,EUR,1289000.0,3859000.0,,,34000.0,246000.0,549000.0,,,34000.0,3073000.0,7479000.0,1263000.0,1556000.0,4270000.0,,,92000.0,,,2974000.0,4336000.0,1000.0,,,,1122000.0,,157000.0,,1017000.0,1155000.0,2981000.0,157000.0,105000.0,6346000.0,65000.0,685000.0,,,,,,,32000.0,303000.0,2029000.0,,1259000.0,6346000.0,3073000.0,2981000.0,,8727000.0,3073000.0,2678000.0,3073000.0,5654000.0,1248000.0,1384000.0,740000.0,3209000.0
BELL.MI,2022-12-31,12M,EUR,3578919.0,5350230.0,3568550.0,,63795.0,255366.0,255366.0,194457.0,60909.0,63795.0,6814946.0,12714617.0,1829756.0,1829756.0,6183170.0,4728111.0,333350.0,664606.0,,261647.0,4799847.0,9205552.0,,205.0,295319.0,560850.0,560850.0,295524.0,155112.0,24136.0,2135240.0,261647.0,6150340.0,139200.0,83385.0,,,,442814.0,664606.0,,,664009.0,237511.0,1409549.0,,4334792.0,71736.0,715816.0,,6814946.0,6150340.0,899625.0,13936663.0,7375796.0,2390606.0,6814946.0,7121717.0,1222046.0,938547.0,91864.0,6531447.0
