symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredAssets,CurrentLiabilities,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,InvestedCapital,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,MinorityInterest,NetPPE,NetTangibleAssets,NonCurrentDeferredAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherIntangibleAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,Properties,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TradeandOtherPayablesNonCurrent,WorkingCapital
EEMS.MI,2022-12-31,3M,EUR,71000.0,339000.0,0.0,1344000.0,-38000.0,0.0,,1835000.0,1604000.0,1604000.0,1604000.0,1082000.0,1835000.0,1507000.0,35000.0,3151000.0,,1063000.0,1063000.0,269000.0,2083000.0,0.0,19000.0,377000.0,36000.0,2570000.0,,,,0.0,36000.0,1488000.0,211000.0,0.0,4000.0,32000.0,1869124.0,3000.0,,19000.0,,88000.0,1000.0,,376000.0,28000.0,364000.0,0.0,172000.0,-6195000.0,1869124.0,1507000.0,1488000.0,572000.0,3598000.0,1507000.0,1063000.0,1507000.0,2091000.0,447000.0,8000.0,217000.0,4000.0,1068000.0
EEMS.MI,2023-06-30,3M,EUR,391000.0,158000.0,,3429000.0,-38000.0,,171000.0,2120000.0,1568000.0,1568000.0,1568000.0,,2120000.0,2362000.0,,2952000.0,24000.0,576000.0,600000.0,434000.0,1626000.0,0.0,276000.0,196000.0,312000.0,2938000.0,147000.0,,147000.0,0.0,312000.0,2086000.0,413000.0,0.0,8000.0,43000.0,2159600.0,1000.0,1000.0,276000.0,1000.0,171000.0,312000.0,,601000.0,1000.0,211000.0,,,-7710000.0,2159600.0,2362000.0,2086000.0,580000.0,4144000.0,2362000.0,747000.0,2362000.0,1782000.0,1192000.0,156000.0,39000.0,,1326000.0
EEMS.MI,2023-12-31,3M,EUR,309000.0,30000.0,-1000.0,3933000.0,0.0,158000.0,27000.0,3176000.0,1493000.0,1493000.0,1493000.0,,3176000.0,2426000.0,96000.0,2833000.0,27000.0,137000.0,164000.0,416000.0,1391000.0,,272000.0,30000.0,264000.0,2696000.0,,133000.0,133000.0,,263000.0,2154000.0,391000.0,,,24000.0,3986454.0,1000.0,,272000.0,,136000.0,10000.0,9000.0,473000.0,54000.0,381000.0,0.0,,-9213000.0,3986454.0,2426000.0,2154000.0,503000.0,3950000.0,2559000.0,297000.0,2426000.0,1524000.0,1117000.0,133000.0,28000.0,,1442000.0
