symbol,asOfDate,periodType,currencyCode,BeginningCashPosition,CapitalExpenditure,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInOtherCurrentLiabilities,ChangeInPayable,ChangeInPrepaidAssets,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStockIssuance,DeferredTax,Depreciation,DepreciationAndAmortization,EndCashPosition,FinancingCashFlow,FreeCashFlow,GainLossOnInvestmentSecurities,InvestingCashFlow,IssuanceOfCapitalStock,IssuanceOfDebt,LongTermDebtIssuance,LongTermDebtPayments,NetBusinessPurchaseAndSale,NetCommonStockIssuance,NetIncome,NetIncomeFromContinuingOperations,NetIntangiblesPurchaseAndSale,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetOtherFinancingCharges,NetOtherInvestingChanges,NetPPEPurchaseAndSale,OperatingCashFlow,OtherNonCashItems,PensionAndEmployeeBenefitExpense,ProvisionandWriteOffofAssets,PurchaseOfBusiness,PurchaseOfIntangibles,PurchaseOfPPE,RepaymentOfDebt,SaleOfBusiness,SaleOfIntangibles,SaleOfInvestment,SaleOfPPE
EPH.MI,2019-12-31,12M,EUR,8934000.0,-3307000.0,-7390000.0,3003000.0,3765000.0,,-851000.0,6575000.0,-166000.0,5751000.0,-7390000.0,0.0,7018000.0,22521000.0,22521000.0,1544000.0,465000.0,-11523000.0,,361000.0,0.0,,,-732000.0,-203000.0,0.0,-41881000.0,-46287000.0,-2931000.0,0.0,-732000.0,-732000.0,1197000.0,3822000.0,-327000.0,-8216000.0,241000.0,51000.0,194000.0,-403000.0,-2931000.0,-376000.0,-732000.0,200000.0,0.0,0.0,49000.0
EPH.MI,2020-03-31,TTM,EUR,,,,,,,,,,,,,,,,,,,,,,,,,197000.0,,,,,,,,,,,,,,,,,,,600000.0,,,
EPH.MI,2020-12-31,12M,EUR,1544000.0,-2048000.0,1265000.0,3126000.0,-23000.0,0.0,-2182000.0,,1225000.0,2146000.0,1265000.0,17063000.0,1682000.0,14917000.0,14917000.0,2809000.0,14930000.0,-13616000.0,-174000.0,-2097000.0,17063000.0,,,-2239000.0,225000.0,17063000.0,-33620000.0,-34575000.0,-1492000.0,,-2239000.0,-2239000.0,106000.0,-280000.0,-550000.0,-11568000.0,,77000.0,3120000.0,-175000.0,-1492000.0,-556000.0,-2239000.0,400000.0,,,6000.0
EPH.MI,2021-12-31,12M,EUR,2809000.0,-14000.0,-1668000.0,8506000.0,296000.0,814000.0,182000.0,,-792000.0,1511000.0,-1668000.0,2013000.0,0.0,1164000.0,1164000.0,1141000.0,1792000.0,-3452000.0,,-22000.0,2013000.0,181000.0,181000.0,-221000.0,10000.0,2013000.0,-19647000.0,-6445000.0,0.0,,181000.0,181000.0,-402000.0,342000.0,-14000.0,-3438000.0,,53000.0,-986000.0,-38000.0,0.0,-14000.0,-221000.0,10000.0,,,0.0
EPH.MI,2022-12-31,12M,EUR,1141000.0,,-1000000.0,,-39000.0,-513000.0,676000.0,,0.0,-12000.0,-1000000.0,0.0,,192000.0,192000.0,141000.0,600000.0,-806000.0,,-794000.0,0.0,600000.0,600000.0,,0.0,0.0,11883000.0,-1026000.0,,,600000.0,600000.0,,-794000.0,0.0,-806000.0,,40000.0,,,,0.0,,0.0,,,
EPH.MI,2023-12-31,TTM,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,-1250707.0,,,,,,,,,,,,,,,,,,,,
