symbol,asOfDate,periodType,currencyCode,NetBusinessPurchaseAndSale,NetIncome,SaleOfBusiness
EPH.MI,2020-03-31,TTM,EUR,197000.0,,600000.0
EPH.MI,2023-12-31,TTM,EUR,,-1250707.0,
