symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredTaxesAssets,CurrentLiabilities,DerivativeProductLiabilities,FinancialAssets,FinishedGoods,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HedgingAssetsCurrent,Inventory,InvestedCapital,InvestmentinFinancialAssets,InvestmentsinSubsidiariesatCost,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,Properties,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,WorkingCapital
ACQ.MI,2022-12-31,3M,EUR,3384200.0,3042116.0,-324158.0,2027663.0,-118736.0,64588.0,208863.0,208863.0,205835.0,3028.0,64588.0,4703937.0,0.0,7722128.0,724344.0,724344.0,87125.0,5117151.0,0.0,23911.0,2798703.0,1259031.0,2352835.0,3160852.0,1393928.0,8034.0,2798703.0,6375404.0,23911.0,0.0,947123.0,947123.0,0.0,80000.0,75141.0,1462604.0,1069770.0,2351102.0,27494.0,372939.0,2583500.0,16187.0,264340.0,-1.0,1093804.0,81502.0,207668.0,431711.0,1044795.0,3646612.0,56673.0,3180.0,887076.0,2392821.0,2583500.0,4703937.0,2351102.0,529312.0,11168644.0,5651060.0,1671467.0,4703937.0,6464707.0,3446516.0,1347556.0,54744.0,2604977.0
ACQ.MI,2023-06-30,3M,EUR,4368068.0,4404147.0,,,,64588.0,765492.0,765492.0,,,64588.0,4911842.0,,8843377.0,595668.0,595668.0,,5263717.0,,,,,2120418.0,,,,2955597.0,6261363.0,21553.0,,753853.0,753853.0,,14000.0,,584029.0,1057027.0,2791424.0,,322521.0,2583500.0,12628.0,299981.0,-1.0,,776442.0,,,648774.0,4368068.0,,,,212682.0,2583500.0,4911842.0,2791424.0,56739.0,12042375.0,5665695.0,1349521.0,4911842.0,7130533.0,3198998.0,1866816.0,,3579660.0
