symbol,asOfDate,periodType,currencyCode,AmortizationCashFlow,BeginningCashPosition,CapitalExpenditure,CapitalExpenditureReported,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInOtherCurrentLiabilities,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStockIssuance,DeferredTax,Depreciation,DepreciationAndAmortization,DividendsReceivedCFI,EffectOfExchangeRateChanges,EndCashPosition,FinancingCashFlow,FreeCashFlow,GainLossOnInvestmentSecurities,GainLossOnSaleOfPPE,InterestPaidCFO,InterestReceivedCFI,InvestingCashFlow,IssuanceOfCapitalStock,IssuanceOfDebt,LongTermDebtIssuance,LongTermDebtPayments,NetBusinessPurchaseAndSale,NetCommonStockIssuance,NetIncome,NetIncomeFromContinuingOperations,NetIntangiblesPurchaseAndSale,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetOtherInvestingChanges,NetPPEPurchaseAndSale,NetShortTermDebtIssuance,OperatingCashFlow,OtherNonCashItems,ProvisionandWriteOffofAssets,PurchaseOfIntangibles,PurchaseOfPPE,RepaymentOfDebt,SaleOfBusiness,SaleOfPPE,ShortTermDebtIssuance,TaxesRefundPaid
PINF.MI,2019-12-31,12M,EUR,,,,-3687441.0,,55900.0,,-1279877.0,,,,,,,,,0.0,,,,,2429.0,,,4095.0,,,0.0,0.0,,1597739.0,,,,,13098124.0,,,45826.0,,,,,,,,,1597739.0,,,
PINF.MI,2020-09-30,TTM,EUR,,,,-1738066.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PINF.MI,2020-12-31,12M,EUR,174775.0,17746956.0,-1398656.0,,10741083.0,-59559.0,-8427481.0,-1472636.0,-2242301.0,13782452.0,3053111.0,10741083.0,20000000.0,961778.0,3931585.0,4106360.0,,,28488039.0,12560276.0,-5979642.0,-948270.0,-948270.0,-221038.0,46790.0,4160449.0,20000000.0,,,-3640048.0,,20000000.0,-24437689.0,-24437689.0,,,-3640048.0,-3640048.0,4113659.0,1380897.0,,-5979642.0,1487154.0,,,-1398656.0,-3640048.0,,2779553.0,,-249465.0
PINF.MI,2021-12-31,12M,EUR,112000.0,28529000.0,-1147000.0,,829000.0,126570.0,-3120000.0,,50000.0,2971000.0,-99000.0,829000.0,3567000.0,193000.0,2988000.0,3100000.0,,0.0,29358000.0,-1739000.0,-1616000.0,-962.0,-1000.0,-158000.0,13988.0,3037000.0,3567000.0,0.0,0.0,-3699000.0,,3567000.0,2447000.0,2447000.0,-472000.0,,-3699000.0,-3699000.0,-22000.0,3531000.0,,-469000.0,1760000.0,,-472000.0,-675000.0,-3699000.0,,4206000.0,,-154000.0
PINF.MI,2022-12-31,12M,EUR,332000.0,29358000.0,-1275000.0,,-6559000.0,,-832000.0,,2202000.0,-3495000.0,-2125000.0,-6659000.0,0.0,340000.0,3497000.0,3829000.0,,100000.0,22799000.0,-2633000.0,-4084000.0,,-12000.0,-158000.0,,-1217000.0,0.0,2200000.0,2200000.0,-3592000.0,,0.0,-5001000.0,-5001000.0,-160000.0,,-1392000.0,-1392000.0,,-1057000.0,,-2809000.0,1558000.0,,-160000.0,-1115000.0,-3592000.0,,58000.0,,-186000.0
PINF.MI,2023-12-31,12M,EUR,304000.0,22799000.0,-2987000.0,,4178000.0,,11188000.0,,1907000.0,-8699000.0,4396000.0,4276000.0,0.0,-24000.0,3462000.0,3766000.0,,-98000.0,26977000.0,-6191000.0,4076000.0,,-2426000.0,-369000.0,,3404000.0,0.0,843000.0,,-5778000.0,,0.0,-1591000.0,-1591000.0,-176000.0,,-4935000.0,-5778000.0,,3580000.0,843000.0,7063000.0,2039000.0,488000.0,-176000.0,-2811000.0,-5778000.0,,6391000.0,843000.0,-139000.0
PINF.MI,2024-03-31,TTM,EUR,295000.0,16875000.0,-2917000.0,,11468000.0,,10371000.0,,2859000.0,-5916000.0,7314000.0,11453000.0,,-100000.0,3573000.0,3868000.0,,14000.0,28328000.0,-4269000.0,9330000.0,,-2399000.0,-398000.0,,3475000.0,,,,,,,237000.0,237000.0,-122000.0,,,,,3597000.0,,12247000.0,2250000.0,488000.0,-122000.0,-2795000.0,,,6392000.0,,-130000.0
