symbol,asOfDate,periodType,currencyCode,Amortization,BasicAverageShares,BasicEPS,CostOfRevenue,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GrossProfit,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherOperatingExpenses,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,RentAndLandingFees,RentExpenseSupplemental,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,WriteOff
ALA.MI,2019-12-31,12M,EUR,,9030000.0,0.554042,108708000.0,2466000.0,2466000.0,9030000.0,0.554042,5003000.0,9300000.0,11766000.0,27046000.0,,5003000.0,5003000.0,5003000.0,5003000.0,5003000.0,5003000.0,-1740000.0,-1740000.0,12085000.0,5228004.51149,17746000.0,9300000.0,135754000.0,683000.0,0.0,7093000.0,108708000.0,2466000.0,1480000.0,1480000.0,-319000.0,-93995.48851,2090000.0,0.294657,126454000.0,135754000.0,-319000.0,-319000.0,319000.0
ALA.MI,2020-12-31,12M,EUR,,9030000.0,0.669546,107294000.0,2410000.0,2410000.0,9030000.0,0.669546,6046000.0,10628000.0,13038000.0,29548000.0,,6046000.0,6046000.0,6046000.0,6046000.0,6046000.0,6046000.0,-2391000.0,-2391000.0,13139000.0,6118904.250239,18920000.0,10628000.0,136842000.0,637000.0,0.0,8376000.0,107294000.0,2410000.0,1449000.0,1449000.0,-101000.0,-28095.749761,2330000.0,0.278176,126214000.0,136842000.0,-101000.0,-101000.0,101000.0
ALA.MI,2023-12-31,TTM,EUR,3300000.0,,,175700000.0,4100000.0,800000.0,,,9800000.0,21300000.0,25400000.0,54400000.0,0.0,9800000.0,9800000.0,9800000.0,9800000.0,9800000.0,9800000.0,-6300000.0,-6300000.0,25500000.0,9865771.812081,33100000.0,21300000.0,230100000.0,800000.0,0.0,14900000.0,175700000.0,4100000.0,2900000.0,2900000.0,-100000.0,-34228.187919,5100000.0,0.342282,208800000.0,230100000.0,-100000.0,-100000.0,100000.0
