symbol,asOfDate,periodType,currencyCode,BeginningCashPosition,ChangeInAccruedExpense,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,Depreciation,DepreciationAndAmortization,DividendReceivedCFO,EndCashPosition,FinancingCashFlow,FreeCashFlow,InterestPaidCFO,InvestingCashFlow,NetIncome,NetIncomeFromContinuingOperations,OperatingCashFlow,OtherNonCashItems,ProvisionandWriteOffofAssets,TaxesRefundPaid
ALA.MI,2019-12-31,12M,EUR,3874000.0,-373000.0,3203000.0,-2823000.0,1062000.0,675000.0,-344000.0,-1803000.0,3203000.0,2466000.0,2466000.0,0.0,7077000.0,-2384000.0,5983000.0,-1440000.0,-396000.0,5003000.0,8981000.0,5983000.0,234000.0,371000.0,-2424000.0
ALA.MI,2020-12-31,12M,EUR,7077000.0,-267000.0,1172000.0,-4854000.0,-1981000.0,-6885000.0,3351000.0,-10636000.0,1172000.0,2410000.0,2410000.0,0.0,8249000.0,2558000.0,-688000.0,-1331000.0,-698000.0,6046000.0,10527000.0,-688000.0,78000.0,632000.0,-1996000.0
ALA.MI,2023-12-31,TTM,EUR,,,,,,,,,,,,,,,,,,9800000.0,,,,,
