asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,Amortization,AmortizationCashFlow,AssetsHeldForSaleCurrent,AvailableForSaleSecurities,BasicAverageShares,BasicEPS,BeginningCashPosition,CapitalExpenditure,CapitalExpenditureReported,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashDividendsPaid,CashEquivalents,CashFinancial,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInOtherCurrentLiabilities,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStock,CommonStockDividendPaid,CommonStockEquity,CommonStockIssuance,CommonStockPayments,CostOfRevenue,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredTaxesAssets,CurrentLiabilities,DeferredTax,Depreciation,DepreciationAndAmortization,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DerivativeProductLiabilities,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,DividendReceivedCFO,EBIT,EBITDA,EndCashPosition,EnterpriseValue,EnterprisesValueEBITDARatio,FinancingCashFlow,FinishedGoods,FreeCashFlow,GeneralAndAdministrativeExpense,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,GrossProfit,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,InterestPaidCFO,InterestReceivedCFO,Inventory,InvestedCapital,InvestingCashFlow,InvestmentProperties,InvestmentinFinancialAssets,InvestmentsinAssociatesatCost,InvestmentsinSubsidiariesatCost,IssuanceOfCapitalStock,IssuanceOfDebt,LiabilitiesHeldforSaleNonCurrent,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermDebtPayments,LongTermEquityInvestment,LongTermProvisions,MarketCap,MinorityInterests,NetBusinessPurchaseAndSale,NetCommonStockIssuance,NetDebt,NetForeignCurrencyExchangeGainLoss,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeFromContinuingOperations,NetIncomeIncludingNoncontrollingInterests,NetIntangiblesPurchaseAndSale,NetInterestIncome,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetNonOperatingInterestIncomeExpense,NetOtherFinancingCharges,NetPPE,NetPPEPurchaseAndSale,NetShortTermDebtIssuance,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentPensionAndOtherPostretirementBenefitPlans,NormalizedEBITDA,NormalizedIncome,OperatingCashFlow,OperatingExpense,OperatingIncome,OperatingRevenue,OrdinarySharesNumber,OtherCashAdjustmentOutsideChangeinCash,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherInventories,OtherNonCashItems,OtherNonCurrentLiabilities,OtherOperatingExpenses,OtherPayable,OtherProperties,OtherReceivables,OtherSpecialCharges,OtherunderPreferredStockDividend,Payables,PensionAndEmployeeBenefitExpense,PrepaidAssets,PretaxIncome,ProvisionandWriteOffofAssets,PurchaseOfPPE,ReconciledCostOfRevenue,ReconciledDepreciation,RepaymentOfDebt,RepurchaseOfCapitalStock,RestructuringAndMergernAcquisition,RetainedEarnings,SaleOfBusiness,SellingAndMarketingExpense,SellingGeneralAndAdministration,ShareIssued,ShortTermDebtIssuance,SpecialIncomeCharges,StockholdersEquity,TangibleBookValue,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TaxesReceivable,TaxesRefundPaid,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalExpenses,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalOperatingIncomeAsReported,TotalOtherFinanceCost,TotalRevenue,TotalTaxPayable,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,TradeandOtherPayablesNonCurrent,TreasurySharesNumber,WorkingCapital,WriteOff
2019-12-31,12M,EUR,,,,-353000.0,,,0.0,,,,,,0.0,,,,,,,,,,126000.0,,,,,,,,,65000.0,,,,,,,248691.0,,126000.0,,,,,,,,,0.0,,,,,,,,,,,,,315.0,,,,,,0.0,0.0,,,,,,0.0,0.0,65000.0,0.0,,,,,0.0,0.0,,,,,,,0.0,,,,,,,,0.0,,0.0,0.0,,,,,0.0,,,,,,,,,,,1000.0,45503.0,233165.0,11132446.0,,,-2000.0,,,,315.0,,,,,,,,-45000.0,,,,0.0,,,,,,,,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,46655.0,0.0,,0.0
2020-12-31,12M,EUR,76000.0,509000.0,17173256.0,,0.0,0.0,0.0,,1357000.0,0.011,2000.0,-1000.0,,,946061.0,63244.0,63244.0,,,,61000.0,0.0,,,-69000.0,-371000.0,-440000.0,61000.0,946061.0,0.0,518461.0,349000.0,,733000.0,738498.0,,100000.0,100000.0,237637.0,935955.0,32000.0,22000.0,22000.0,22354.0,22354.0,,1357000.0,0.011,15413.0,0.0,50871.0,73225.0,63000.0,6916030.0,94.449027,449000.0,,-388000.0,177000.0,,0.0,509000.0,801.0,142506.0,3870.0,3870.0,0.0,0.0,-4000.0,0.0,,618461.0,-1000.0,533400.0,0.0,0.0,0.0,349000.0,100000.0,0.0,,0.0,0.0,0.0,0.0,22260.0,6947833.0,,0.0,349000.0,36756.0,0.0,15413.0,15413.0,15413.0,15413.0,15413.0,15000.0,15413.0,0.0,-3870.0,100000.0,0.0,-3870.0,,801.0,-1000.0,100000.0,518461.0,237637.0,0.0,73225.0,15413.0,-387000.0,91410.0,51096.0,875506.0,1357000.0,,91254.0,222899.0,,,,4000.0,33009.0,69056.0,222899.0,801.0,75000.0,,0.0,406056.0,0.0,30000.0,47001.0,4000.0,,733000.0,22000.0,0.0,,,-17600856.0,,,177000.0,1357000.0,100000.0,,518461.0,518461.0,0.0,31588.0,0.24,60000.0,-20000.0,1509685.0,518461.0,100000.0,518461.0,824410.0,991224.0,771838.0,55269.0,50871.0,,875506.0,330056.0,0.0,0.0,,0.0,-197457.0,
2021-12-31,12M,EUR,506000.0,151000.0,17173000.0,,0.0,0.0,0.0,,1357000.0,-0.076,63000.0,-1000.0,,0.0,946000.0,42000.0,42000.0,,42000.0,,-21000.0,0.0,0.0,0.0,-1000.0,-50000.0,-51000.0,-21000.0,946000.0,0.0,415000.0,0.0,0.0,207000.0,794000.0,0.0,101000.0,101000.0,208000.0,984000.0,33000.0,99000.0,99000.0,99000.0,99000.0,,1357000.0,-0.076,-103000.0,0.0,-68000.0,31000.0,42000.0,8470563.0,,0.0,0.0,-21000.0,301000.0,,0.0,151000.0,583.0,425000.0,2000.0,2000.0,0.0,0.0,-1000.0,0.0,0.0,516000.0,-1000.0,436000.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,22000.0,8386253.0,0.0,0.0,0.0,59000.0,0.0,-103000.0,-103000.0,-103000.0,-103000.0,-103000.0,-103000.0,-103000.0,0.0,-3000.0,0.0,0.0,-3000.0,,1000.0,-1000.0,0.0,415000.0,208000.0,2000.0,33000.0,-101480.0,-20000.0,490000.0,-65000.0,632000.0,1357000.0,1000.0,,86149.0,,,,35000.0,17000.0,80000.0,86000.0,583.0,98000.0,,0.0,882000.0,0.0,339000.0,-70000.0,0.0,-1000.0,207000.0,99000.0,0.0,0.0,2000.0,-17704000.0,,9000.0,310000.0,1357000.0,0.0,-2000.0,415000.0,415000.0,-480.0,33000.0,0.24,164000.0,-33000.0,1440000.0,415000.0,101000.0,415000.0,697000.0,1025000.0,645000.0,41000.0,-69000.0,1000.0,632000.0,290000.0,-2000.0,-2000.0,,0.0,-190000.0,
2022-12-31,12M,EUR,2503000.0,12300000.0,35868000.0,,51000.0,,0.0,123000.0,4214000.0,0.69,42000.0,-1472000.0,,3043000.0,2375000.0,411000.0,411000.0,,410000.0,1000.0,369000.0,-4101000.0,-1163000.0,1289000.0,-1084000.0,2889000.0,-2289000.0,369000.0,2375000.0,0.0,23895000.0,,-305000.0,42610000.0,21830000.0,761000.0,9667000.0,10428000.0,248000.0,14978000.0,,1122000.0,1122000.0,1123000.0,1072000.0,29000.0,4214000.0,0.69,2858000.0,,5188000.0,6311000.0,411000.0,29564981.0,,-572000.0,5564000.0,866000.0,870000.0,15883000.0,15951000.0,12300000.0,,7830000.0,471000.0,471000.0,0.0,0.0,,,5649000.0,35088000.0,-1397000.0,440000.0,123000.0,,,,,0.0,2282000.0,1526000.0,3808000.0,,,113000.0,17277981.0,-498000.0,75000.0,-305000.0,10782000.0,,2858000.0,2858000.0,3356000.0,2858000.0,2858000.0,3356000.0,3356000.0,,-460000.0,,,-460000.0,-267000.0,4666000.0,-1472000.0,,7944000.0,248000.0,333000.0,6398000.0,2919897.816409,2338000.0,2567000.0,5263000.0,50440000.0,4214142.0,,9258000.0,1506000.0,,68000.0,85000.0,,100000.0,221000.0,225000.0,,126000.0,18000.0,0.0,3269000.0,149000.0,2043000.0,4717000.0,,-1472000.0,42610000.0,1122000.0,,-305000.0,69000.0,-14348000.0,75000.0,4000.0,874000.0,4214142.0,,-87000.0,23895000.0,7944000.0,-25102.183591,1361000.0,0.288531,1301000.0,,43256000.0,25421000.0,14236000.0,23895000.0,45177000.0,19361000.0,21428000.0,4383000.0,5064000.0,-11000.0,50440000.0,541000.0,-87000.0,-87000.0,,0.0,6852000.0,
2023-12-31,12M,EUR,1620000.0,4051000.0,29993000.0,,38000.0,,,122000.0,4214000.0,0.59,411000.0,-2760000.0,,3229000.0,2375000.0,1169000.0,1169000.0,-98000.0,1169000.0,0.0,758000.0,1013000.0,246000.0,171000.0,-1275000.0,8500000.0,8533000.0,758000.0,2375000.0,-98000.0,26793000.0,,0.0,39392000.0,12833000.0,972000.0,689000.0,1661000.0,,5133000.0,,1218000.0,1218000.0,1219000.0,1181000.0,15000.0,4214000.0,0.59,2482000.0,,4662000.0,5881000.0,1169000.0,13167020.0,,-9383000.0,4567000.0,10141000.0,813000.0,15883000.0,15934000.0,4051000.0,,7699000.0,405000.0,405000.0,3000.0,3000.0,,,4636000.0,28484000.0,-2760000.0,426000.0,122000.0,,,,,0.0,2257000.0,1002000.0,3259000.0,,,159000.0,7754020.0,-487000.0,0.0,0.0,522000.0,,2482000.0,2482000.0,2969000.0,2482000.0,2482000.0,2969000.0,2969000.0,,-373000.0,,,-373000.0,-9285000.0,6240000.0,-2760000.0,,10859000.0,220000.0,340000.0,6041000.0,2593590.321823,12901000.0,2910000.0,4789000.0,47091000.0,4214142.0,,,,,51000.0,69000.0,,75000.0,512000.0,160000.0,,122000.0,86000.0,0.0,1930000.0,181000.0,1805000.0,4257000.0,,-2760000.0,39392000.0,1218000.0,,0.0,74000.0,-5575000.0,0.0,2000.0,815000.0,4214142.0,,-160000.0,26793000.0,10859000.0,-48409.678177,1288000.0,0.30256,1050000.0,,35774000.0,27795000.0,4920000.0,26793000.0,42302000.0,8981000.0,22942000.0,3848000.0,4549000.0,-29000.0,47091000.0,150000.0,-160000.0,-160000.0,,,7700000.0,
