asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,Amortization,AvailableForSaleSecurities,BasicAverageShares,BasicEPS,BeginningCashPosition,CapitalExpenditure,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashDividendsPaid,CashEquivalents,CashFinancial,ChangeInAccruedExpense,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStock,CommonStockDividendPaid,CommonStockEquity,CommonStockIssuance,CommonStockPayments,ConstructionInProgress,CostOfRevenue,CurrentAssets,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredTaxesAssets,CurrentLiabilities,Depreciation,DepreciationAndAmortization,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,DividendReceivedCFO,EBIT,EBITDA,EffectOfExchangeRateChanges,EndCashPosition,EnterpriseValue,FinancialAssets,FinancingCashFlow,FixedAssetsRevaluationReserve,FreeCashFlow,GeneralAndAdministrativeExpense,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,GrossProfit,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,InterestPaidCFO,Inventory,InvestedCapital,InvestingCashFlow,InvestmentinFinancialAssets,InvestmentsinAssociatesatCost,InvestmentsinSubsidiariesatCost,IssuanceOfCapitalStock,IssuanceOfDebt,LandAndImprovements,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermDebtIssuance,LongTermDebtPayments,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MarketCap,NetBusinessPurchaseAndSale,NetCommonStockIssuance,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeFromContinuingOperations,NetIncomeIncludingNoncontrollingInterests,NetIntangiblesPurchaseAndSale,NetInterestIncome,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetNonOperatingInterestIncomeExpense,NetOtherFinancingCharges,NetPPE,NetPPEPurchaseAndSale,NetShortTermDebtIssuance,NetTangibleAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NormalizedEBITDA,NormalizedIncome,OperatingCashFlow,OperatingExpense,OperatingIncome,OperatingRevenue,OrdinarySharesNumber,OtherCashAdjustmentOutsideChangeinCash,OtherCurrentAssets,OtherCurrentLiabilities,OtherIntangibleAssets,OtherNonCashItems,OtherOperatingExpenses,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,OtherunderPreferredStockDividend,Payables,PretaxIncome,Properties,ProvisionandWriteOffofAssets,PurchaseOfBusiness,PurchaseOfIntangibles,PurchaseOfInvestment,PurchaseOfPPE,ReconciledCostOfRevenue,ReconciledDepreciation,RentExpenseSupplemental,RepaymentOfDebt,RepurchaseOfCapitalStock,RestructuringAndMergernAcquisition,RetainedEarnings,SaleOfBusiness,SaleOfIntangibles,SaleOfInvestment,SaleOfPPE,SellingGeneralAndAdministration,ShareIssued,SpecialIncomeCharges,StockholdersEquity,TangibleBookValue,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TaxesReceivable,TaxesRefundPaid,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalExpenses,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalOtherFinanceCost,TotalRevenue,TotalTaxPayable,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,TradeandOtherPayablesNonCurrent,TreasurySharesNumber,TreasuryStock,WorkingCapital,WriteOff
2020-06-30,12M,EUR,5384607.0,3863266.0,,0.0,-19402.0,611746.0,445822.0,24571428.0,0.047173,2505896.0,-2146685.0,300000.0,4302667.0,4347176.0,,4298918.0,3749.0,38888.0,1796771.0,0.0,-1033019.0,-185812.0,134854.0,-1045089.0,1796771.0,300000.0,0.0,2943564.0,0.0,-297966.0,903791.0,44240419.0,9564517.0,2456381.0,2456381.0,,8374333.0,690588.0,690588.0,690588.0,78842.0,24571428.0,0.047173,1159102.0,0.0,1672025.0,2362613.0,0.0,4302667.0,,90769.0,2766509.0,0.0,-1329823.0,1241539.0,1222594.0,4397420.0,1565310.0,3585474.0,111924.0,111924.0,4555.0,4555.0,-106469.0,,7242008.0,-1786600.0,445822.0,610564.0,0.0,0.0,3725000.0,375000.0,1842063.0,1842063.0,3725000.0,-660525.0,610564.0,168970.0,199213.0,,0.0,-297966.0,1159102.0,1159102.0,1159102.0,1159102.0,1159102.0,1666570.0,1159102.0,-844738.0,-107369.0,360085.0,3064475.0,3064475.0,-107369.0,,1565310.0,-1301947.0,0.0,1720970.0,,339616.0,2430801.0,1209763.365627,816862.0,1849816.0,1735658.0,47825893.0,24571428.0,,139590.0,450027.0,1222594.0,12306.0,176258.0,401883.0,87306.0,654341.0,44509.0,0.0,5869808.0,1560101.0,375000.0,56501.0,0.0,-844738.0,-553715.0,-1301947.0,44240419.0,690588.0,61897.0,-660525.0,-297966.0,56782.0,1159102.0,0.0,0.0,913800.0,0.0,1241539.0,24571428.0,-75078.0,2943564.0,1720970.0,-17526.634373,400999.0,0.257034,699734.0,-457545.0,13499576.0,4785627.0,4298444.0,2943564.0,46090235.0,10556012.0,3935059.0,2181679.0,,47825893.0,83318.0,-68188.0,-68188.0,,,,1190184.0,18296.0
2021-06-30,12M,EUR,12611953.0,11571813.0,-416826.0,7931428.0,-59500.0,1066140.0,,24571428.0,0.054003,4302667.0,-2969943.0,368571.0,7506787.0,7614646.0,-347731.0,7503410.0,3377.0,359434.0,3204120.0,0.0,98180.0,7227346.0,-7722942.0,-37982.0,3204120.0,368571.0,,19760969.0,7931428.0,0.0,1379890.0,70939327.0,26750513.0,1726970.0,1726970.0,,16891351.0,1148880.0,1148880.0,1148880.0,82740.0,24571428.0,0.054003,1326937.0,0.0,2115177.0,3264057.0,0.0,7506787.0,53374694.0,0.0,7752326.0,7760000.0,-284964.0,,10556912.0,11631313.0,2468881.0,4772434.0,356040.0,356040.0,1843.0,1843.0,-159925.0,0.0,24228042.0,-7233185.0,,125884.0,301385.0,7931428.0,2000000.0,,2740103.0,2740103.0,2000000.0,-1831371.0,427269.0,,372294.0,60445712.0,0.0,7931428.0,1326937.0,1326937.0,1326937.0,1326937.0,1326937.0,2112264.0,1326937.0,-2400458.0,-354197.0,-4263242.0,168629.0,168629.0,-354197.0,,2052055.0,-569485.0,0.0,9204057.0,0.0,234326.0,3397996.0,1427968.707504,2684979.0,2525209.0,2247225.0,75711761.0,24571428.0,,,,10556912.0,,190369.0,1726770.0,341697.0,5352372.0,107859.0,0.0,14756803.0,1759137.0,375000.0,73814.0,0.0,-2400458.0,-4309422.0,-569485.0,70939327.0,1148880.0,62543.0,-1831371.0,0.0,75509.0,1326937.0,0.0,0.0,46180.0,0.0,,24571428.0,-135009.0,19760969.0,9204057.0,-32907.292496,432200.0,0.245689,2211682.0,-441938.0,39786749.0,22501072.0,4467073.0,19760969.0,73464536.0,20025780.0,13036236.0,3134429.0,,75711761.0,418080.0,-133939.0,-133939.0,160000.0,,0.0,9859162.0,59500.0
2022-06-30,12M,EUR,23984664.0,25730165.0,-526649.0,7931428.0,,1762941.0,,24661626.0,-0.044731,7506787.0,-3831915.0,369924.0,15905439.0,16066206.0,-394586.0,15900940.0,4499.0,-47224.0,8397355.0,0.0,7718752.0,11372711.0,-14329302.0,4714937.0,8397355.0,369924.0,,18264601.0,1353.0,0.0,3260770.0,201181206.0,46480842.0,2777383.0,2777383.0,3625.0,41838746.0,1872764.0,1872764.0,1872764.0,109823.0,24661626.0,-0.044731,-1103131.0,0.0,2744998.0,4617762.0,0.0,15904142.0,57131673.0,,2920189.0,7760000.0,5240106.0,,10587297.0,,4507470.0,6921244.0,158834.0,158834.0,5804.0,5804.0,-246774.0,0.0,26046394.0,-3594855.0,,428881.0,0.0,1353.0,5530000.0,,5004410.0,5004410.0,5530000.0,-2216787.0,428881.0,200000.0,372294.0,59434518.0,0.0,1353.0,-1103131.0,-1103131.0,-1103131.0,-1103131.0,-1103131.0,2832938.0,-1103131.0,-1793326.0,-153030.0,237060.0,3313422.0,3313213.0,-153030.0,2.0,3980821.0,-2038589.0,209.0,7677304.0,0.0,299213.0,4880652.0,-903334.6,9072021.0,3919160.0,3002084.0,208102450.0,24661626.0,3377.0,,6106614.0,10587297.0,144106.0,388688.0,4050427.0,484406.0,4492135.0,160767.0,0.0,32594395.0,2586164.0,390000.0,302571.0,0.0,-1793326.0,-54520.0,-2038589.0,201181206.0,1872764.0,73577.0,-2216787.0,0.0,119075.0,-1103131.0,0.0,0.0,291580.0,0.0,,24661626.0,-263181.0,18264601.0,7677304.0,-63093.6,3689295.0,0.24,188711.0,-510837.0,65686970.0,23269011.0,7781793.0,18264601.0,205100366.0,47422369.0,19206128.0,5583623.0,60612.0,208102450.0,4559304.0,-262890.0,-262890.0,80000.0,,0.0,4642096.0,144106.0
2023-06-30,12M,EUR,17324850.0,17724975.0,-639521.0,7931428.0,,1881540.0,,24571573.0,-0.050679,15904142.0,-5405532.0,369924.0,18541930.0,19646217.0,,18537296.0,4634.0,-62224.0,2637788.0,0.0,2494504.0,-6659814.0,7692118.0,3464584.0,2637788.0,369924.0,,16809710.0,0.0,-209620.0,7184841.0,220001042.0,41384435.0,4640271.0,4640271.0,203042.0,38383593.0,1994413.0,1994413.0,1994413.0,112873.0,24571573.0,-0.050679,-1245272.0,0.0,-438244.0,1556169.0,0.0,18541930.0,60647955.0,,2608002.0,7760000.0,-1464335.0,,9844503.0,,8774255.0,4869029.0,262735.0,262735.0,6057.0,6057.0,-425121.0,0.0,27407827.0,-3911411.0,,429826.0,,0.0,6028812.0,,5957846.0,5957846.0,6028812.0,-3216427.0,429826.0,,372294.0,56760333.0,0.0,-209620.0,-1245272.0,-1245272.0,-1245272.0,-1245272.0,-1245272.0,-275858.0,-1245272.0,-1138746.0,-378914.0,1494121.0,2817622.0,2812385.0,-378914.0,,8134734.0,-4266786.0,5237.0,6965207.0,0.0,412892.0,2016428.0,-895475.16,3941197.0,4684397.0,184632.0,224870071.0,24571573.0,4499.0,,3170901.0,9844503.0,308977.0,347381.0,12793507.0,570521.0,1883482.0,1104287.0,0.0,30274291.0,-700979.0,646599.0,122158.0,0.0,-1138746.0,-945351.0,-4266786.0,220001042.0,1994413.0,80915.0,-3216427.0,-209620.0,151596.0,-1245272.0,0.0,0.0,2439472.0,0.0,,24661626.0,-460573.0,16809710.0,6965207.0,-110462.16,544293.0,0.24,1926719.0,-1039477.0,61564041.0,22767556.0,10598117.0,16809710.0,224685439.0,44754331.0,20179606.0,6370738.0,122236.0,224870071.0,155934.0,-460259.0,-460259.0,,90053.0,209627.0,3000842.0,308977.0
