symbol,asOfDate,periodType,currencyCode,BeginningCashPosition,CapitalExpenditure,ChangeInAccruedExpense,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStockDividendPaid,CommonStockIssuance,CommonStockPayments,DeferredTax,Depreciation,DepreciationAndAmortization,DividendReceivedCFO,EffectOfExchangeRateChanges,EndCashPosition,FinancingCashFlow,FreeCashFlow,GainLossOnInvestmentSecurities,InterestPaidCFO,InvestingCashFlow,IssuanceOfCapitalStock,IssuanceOfDebt,LongTermDebtIssuance,LongTermDebtPayments,NetBusinessPurchaseAndSale,NetCommonStockIssuance,NetIncome,NetIncomeFromContinuingOperations,NetIntangiblesPurchaseAndSale,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetPPEPurchaseAndSale,NetShortTermDebtIssuance,OperatingCashFlow,OtherNonCashItems,ProvisionandWriteOffofAssets,PurchaseOfBusiness,PurchaseOfIntangibles,PurchaseOfInvestment,PurchaseOfPPE,RepaymentOfDebt,RepurchaseOfCapitalStock,SaleOfIntangibles,SaleOfInvestment,SaleOfPPE,TaxesRefundPaid
DBA.MI,2019-12-31,TTM,EUR,,,,,,,,,,,,400000.0,,175306.0,,,,,,,,,,,400000.0,,,,-4706416.0,400000.0,,,,,,,,,,,,-4706416.0,,,,,,365431.0,,,
DBA.MI,2023-12-31,TTM,EUR,5437080.0,-4911394.0,476704.0,3485407.0,2185699.0,-1709726.0,2176153.0,-7268654.0,-4139824.0,3485407.0,0.0,0.0,-774909.0,2658354.0,3943428.0,3943428.0,0.0,-57976.0,8864511.0,349191.0,609785.0,-161017.0,-834198.0,-2384963.0,0.0,4792378.0,4792378.0,-5883011.0,,-774909.0,4047065.0,4361544.0,-1901621.0,1101317.0,1124100.0,-1090633.0,-1584659.0,2214733.0,5521179.0,68004.0,511160.0,,-3310243.0,0.0,-1601151.0,-5883011.0,-774909.0,1408622.0,1101317.0,16492.0,-657059.0
