asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,Amortization,BasicAverageShares,BasicEPS,BeginningCashPosition,CapitalExpenditure,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashDividendsPaid,CashEquivalents,CashFinancial,ChangeInAccruedExpense,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStock,CommonStockDividendPaid,CommonStockEquity,CommonStockIssuance,ConstructionInProgress,CostOfRevenue,CurrentAssets,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,DeferredTax,Depreciation,DepreciationAndAmortization,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,DividendReceivedCFO,EBIT,EBITDA,EndCashPosition,EnterpriseValue,FinancialAssets,FinancingCashFlow,FinishedGoods,FreeCashFlow,GainLossOnInvestmentSecurities,GainLossOnSaleOfPPE,Goodwill,GoodwillAndOtherIntangibleAssets,GrossPPE,GrossProfit,InterestExpense,InterestExpenseNonOperating,InterestPaidCFO,InterestReceivedCFO,Inventory,InvestedCapital,InvestingCashFlow,InvestmentinFinancialAssets,InvestmentsInOtherVenturesUnderEquityMethod,IssuanceOfCapitalStock,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermDebtPayments,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MarketCap,MinorityInterest,MinorityInterests,NetCommonStockIssuance,NetDebt,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeFromContinuingOperations,NetIncomeIncludingNoncontrollingInterests,NetIntangiblesPurchaseAndSale,NetInterestIncome,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetNonOperatingInterestIncomeExpense,NetOtherFinancingCharges,NetOtherInvestingChanges,NetPPE,NetPPEPurchaseAndSale,NetShortTermDebtIssuance,NetTangibleAssets,NonCurrentDeferredAssets,NonCurrentPensionAndOtherPostretirementBenefitPlans,NormalizedEBITDA,NormalizedIncome,OperatingCashFlow,OperatingExpense,OperatingIncome,OperatingRevenue,OrdinarySharesNumber,OtherCashAdjustmentOutsideChangeinCash,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCashItems,OtherNonCurrentLiabilities,OtherOperatingExpenses,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,OtherSpecialCharges,OtherunderPreferredStockDividend,Payables,PretaxIncome,Properties,ProvisionandWriteOffofAssets,PurchaseOfIntangibles,PurchaseOfInvestment,PurchaseOfPPE,RawMaterials,ReconciledCostOfRevenue,ReconciledDepreciation,RepaymentOfDebt,RestructuringAndMergernAcquisition,RetainedEarnings,SaleOfInvestment,SaleOfPPE,ShareIssued,SpecialIncomeCharges,StockholdersEquity,TangibleBookValue,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TaxesReceivable,TaxesRefundPaid,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalExpenses,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalOtherFinanceCost,TotalRevenue,TotalTaxPayable,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,WorkInProcess,WorkingCapital,WriteOff
2020-12-31,12M,EUR,6131000.0,8655000.0,,,,190000.0,1.342105,1851000.0,-2272000.0,150000.0,2610000.0,2610000.0,-530000.0,,,144000.0,759000.0,-1052000.0,3204000.0,50000.0,2085000.0,4431000.0,759000.0,150000.0,-530000.0,8629000.0,,,22799000.0,19465000.0,,,7846000.0,,746000.0,746000.0,797000.0,797000.0,190000.0,1.342105,255000.0,5000.0,457000.0,1254000.0,2610000.0,,,-1956000.0,2372000.0,2749000.0,,,,459000.0,3356000.0,8179000.0,89000.0,89000.0,-67000.0,,6699000.0,14049000.0,-2306000.0,338000.0,,,5420000.0,5420000.0,-752000.0,,100000.0,2823000.0,,20000.0,4000.0,,2810000.0,255000.0,255000.0,252000.0,255000.0,255000.0,431000.0,252000.0,-135000.0,-67000.0,-34000.0,-2426000.0,-752000.0,-67000.0,1000000.0,1000.0,3356000.0,-2137000.0,-1674000.0,8170000.0,,1603000.0,1262000.0,260456.521739,5021000.0,7600000.0,579000.0,30978000.0,190000.0,5000.0,105000.0,,459000.0,,-2000.0,-35000.0,1233000.0,507000.0,226000.0,,8000.0,0.0,7553000.0,368000.0,26000.0,400000.0,-135000.0,-34000.0,-2137000.0,1147000.0,22799000.0,746000.0,-752000.0,,7779000.0,0.0,0.0,190000.0,-8000.0,8629000.0,8170000.0,-2543.478261,117000.0,0.317935,1275000.0,-686000.0,23616000.0,14049000.0,5420000.0,8649000.0,30399000.0,14967000.0,4153000.0,7121000.0,-22000.0,30978000.0,189000.0,-8000.0,-8000.0,3180000.0,11619000.0,
2021-12-31,12M,EUR,8172607.0,10786375.0,,,213304.0,190000.0,17.523563,2609501.0,-831551.0,150000.0,2150514.0,2150514.0,-400000.0,2143313.0,7201.0,354742.0,-458987.0,-2009469.0,-1706447.0,2041845.0,-2136882.0,-3456211.0,-458987.0,150000.0,-400000.0,11352580.0,,0.0,29637982.0,24743599.0,2038573.0,2038573.0,13014310.0,961976.0,814781.0,814781.0,814781.0,601477.0,190000.0,17.523563,3329477.0,3000.0,4365339.0,5180120.0,2150514.0,,0.0,-1286233.0,2751544.0,744877.0,48512.0,,0.0,403672.0,3294961.0,12323623.0,64537.0,64537.0,-22594.0,,8708407.0,15886552.0,-749182.0,336351.0,220000.0,,2495399.0,2495399.0,-1522843.0,220000.0,102048.0,2838415.0,,28953.0,-9349.0,,2383458.0,3329477.0,3329477.0,3338826.0,3329477.0,3329477.0,3338826.0,3338826.0,-158428.0,-22594.0,1457.0,-2206233.0,-1522843.0,-22594.0,1320000.0,-1000.0,3294961.0,-592211.0,-683390.0,10948908.0,9965.0,1795258.0,5695121.0,3729285.856308,1576428.0,7624099.0,4699524.0,41961605.0,190000.0,8000.0,73821.0,1000.0,403672.0,22594.0,73821.0,149845.0,1516721.0,424976.0,155097.0,,52000.0,0.0,10359106.0,4300802.0,31570.0,451079.0,-158428.0,0.0,-673123.0,1237012.0,29637982.0,814781.0,-1522843.0,451079.0,10808109.0,1457.0,80912.0,190000.0,-515001.0,11352580.0,10948908.0,-115192.143692,961976.0,0.223674,2943206.0,-327211.0,28788548.0,13847979.0,4533972.0,11381533.0,37262081.0,17407015.0,4044949.0,4392705.0,-41943.0,41961605.0,669778.0,-515001.0,-515001.0,4719851.0,11729289.0,63922.0
2022-12-31,12M,EUR,7851020.0,14046933.0,-5308171.0,0.0,206777.0,190000.0,35.811826,2150514.0,-1022856.0,150000.0,3323035.0,3323035.0,-600000.0,3314856.0,8179.0,-2703.0,1172521.0,-540140.0,-1188039.0,-321587.0,-3242732.0,-5295201.0,1172521.0,150000.0,-600000.0,17567064.0,0.0,31000.0,36671186.0,30053579.0,2026773.0,2026773.0,13193048.0,2185143.0,861475.0,861475.0,861475.0,654698.0,190000.0,35.811826,6804247.0,12000.0,9062088.0,9923563.0,3323035.0,,11358.0,-1459271.0,3469999.0,2693520.0,-12000.0,0.0,0.0,447676.0,8687290.0,17754423.0,49037.0,49037.0,31603.0,31603.0,9248547.0,21241765.0,-1084584.0,547934.0,220005.0,0.0,1647928.0,1647928.0,-2637742.0,220005.0,100000.0,6252933.0,,52655.0,-23661.0,0.0,351666.0,6804247.0,6804247.0,6827908.0,6804247.0,6804247.0,6827908.0,6827908.0,-250781.0,31603.0,-200225.0,-2149271.0,-2637742.0,31603.0,1290000.0,,3379119.0,-633578.0,488471.0,17119388.0,101210.0,1968824.0,10583320.0,7304051.128298,3716376.0,8186774.0,9567649.0,54425609.0,190000.0,,55852.0,,447676.0,-136310.0,55852.0,684894.0,1199710.0,2350974.0,68743.0,,,0.0,10570316.0,9013051.0,52383.0,575441.0,-250781.0,-200225.0,-772075.0,853572.0,36671186.0,861475.0,-2637742.0,575441.0,16528562.0,0.0,138497.0,190000.0,-659757.0,17567064.0,17119388.0,-159952.871702,2185143.0,0.242442,3366321.0,-931808.0,34529519.0,19214992.0,3674701.0,17619719.0,44857960.0,16909800.0,4475939.0,3716752.0,-80640.0,54425609.0,1519586.0,-659757.0,-659757.0,4924976.0,16860531.0,84316.0
2023-12-31,12M,EUR,6518109.0,11707334.0,-6025346.0,14960000.0,1092179.0,,27.443263,3323035.0,-6004961.0,190000.0,8457895.0,18790300.0,,8450452.0,7443.0,337864.0,5134860.0,131264.0,-365847.0,-1332911.0,2316493.0,1086863.0,5134860.0,190000.0,0.0,37772439.0,15000000.0,928087.0,32073096.0,41960476.0,639267.0,639267.0,9786700.0,1726596.0,1819131.0,1819131.0,1819131.0,726952.0,,27.443263,5214220.0,7500.0,7041157.0,8860288.0,8457895.0,-15324105.0,4774.0,12995446.0,3495277.0,2635031.0,-7500.0,1757.0,0.0,3478475.0,10555973.0,18078067.0,79113.0,79113.0,,218255.0,9117283.0,39442586.0,-16500578.0,,220005.0,15000000.0,1030880.0,1030880.0,-1502496.0,220005.0,10000.0,7170907.0,665000.0,73883.0,-21228.0,15000000.0,,5214220.0,5214220.0,5235448.0,5214220.0,5214220.0,5235448.0,5235448.0,-4122978.0,271545.0,-10507159.0,-2004554.0,-1502496.0,271545.0,,,4530627.0,-1870441.0,-502058.0,34293964.0,100675.0,2112456.0,9414602.0,5631063.404419,8639992.0,10782392.0,7295675.0,50151163.0,190000.0,,106552.0,,3478475.0,-283581.0,,455435.0,1326295.0,2404596.0,168558.0,10332405.0,,0.0,8162910.0,6962044.0,52383.0,492921.0,-4122978.0,-10507159.0,-1881983.0,1100580.0,32073096.0,1819131.0,-1502496.0,482921.0,20487562.0,,11542.0,190000.0,-554314.0,37772439.0,34293964.0,-137470.595581,1726596.0,0.248001,2177001.0,-1218109.0,50786358.0,38803319.0,1670147.0,37846322.0,42855488.0,12940036.0,8825881.0,3153336.0,-350658.0,50151163.0,318506.0,-554314.0,-554314.0,4521426.0,32173776.0,71393.0
