asOfDate,periodType,currencyCode,AccountsPayable,AdditionalPaidInCapital,BasicAverageShares,BasicEPS,CapitalStock,CashAndCashEquivalents,CashFinancial,CommonStock,CommonStockEquity,DerivativeProductLiabilities,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,GainOnSaleOfSecurity,GeneralAndAdministrativeExpense,Goodwill,GoodwillAndOtherIntangibleAssets,ImpairmentOfCapitalAssets,InsuranceAndClaims,InterestExpense,InterestIncome,InvestedCapital,InvestmentinFinancialAssets,InvestmentsAndAdvances,LongTermDebtAndCapitalLeaseObligation,MarketCap,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeDiscontinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetPPE,NetTangibleAssets,NormalizedIncome,OperatingExpense,OperatingRevenue,OrdinarySharesNumber,OtherIntangibleAssets,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,OtherPayable,Payables,PrepaidAssets,PretaxIncome,Receivables,RetainedEarnings,SellingGeneralAndAdministration,ShareIssued,SpecialIncomeCharges,StockholdersEquity,TangibleBookValue,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalRevenue,TotalTaxPayable,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,TradingSecurities,TreasurySharesNumber,TreasuryStock
2022-12-31,3M,EUR,159322000.0,,,,,,,,,,,,,,,,125625000.0,,,,,,,,,,,,,,,,,,,,,,,,,82157000.0,,,377719000.0,,46749000.0,,194660000.0,,,,,,,,,,,,,,,,,,,,1147964000.0,,
2023-03-31,3M,EUR,,5366000.0,736673554.0,0.242,600458000.0,975206000.0,615870000.0,600458000.0,3139498000.0,2751000.0,745920502.0,0.239,178275000.0,33906228000.0,411717000.0,96874000.0,125625000.0,206984000.0,12776000.0,,77841000.0,253166000.0,3446698000.0,53854557000.0,53854557000.0,374696000.0,6169254608.0,178275000.0,178275000.0,178275000.0,,178275000.0,178275000.0,178275000.0,175325000.0,225843000.0,2932514000.0,187950621.920136,163060000.0,415196000.0,738125701.0,81359000.0,465000.0,0.0,,168727000.0,,235400000.0,,178275000.0,96874000.0,742983891.0,-12776000.0,3139498000.0,2932514000.0,-3100378.079864,57125000.0,0.242672,493745000.0,74491578000.0,3446698000.0,374696000.0,3139498000.0,71352080000.0,415196000.0,168727000.0,-12776000.0,-12776000.0,1620217000.0,4858190.0,33146000.0
2023-06-30,3M,EUR,,6527000.0,,,600531000.0,654215000.0,28655000.0,600531000.0,3184194000.0,2401000.0,,,185050000.0,35238454000.0,619490000.0,69882000.0,125625000.0,208367000.0,12633000.0,,120542000.0,330893000.0,3492933000.0,36866988000.0,36866988000.0,373645000.0,6135031358.0,185050000.0,185050000.0,185032000.0,,185050000.0,185032000.0,185050000.0,210351000.0,223043000.0,2975827000.0,194705959.897198,178998000.0,451675000.0,740766887.0,82742000.0,3706000.0,1857000.0,284150000.0,412997000.0,,241629000.0,,363325000.0,92267000.0,743708141.0,-12633000.0,3184194000.0,2975827000.0,-2959040.102802,56597000.0,0.234231,407085000.0,76152024000.0,3492933000.0,373645000.0,3184194000.0,72967830000.0,451675000.0,128847000.0,-12633000.0,-12633000.0,1612767000.0,2941254.0,20067000.0
2023-09-30,3M,EUR,,6784000.0,,,600547000.0,796930000.0,557930000.0,600547000.0,3439603000.0,1267000.0,,,208840000.0,36816448000.0,-120910000.0,150445000.0,,208108000.0,12512000.0,7688000.0,152516000.0,360126000.0,3756280000.0,56385972000.0,56385972000.0,379254000.0,6002985587.0,208840000.0,208840000.0,208840000.0,0.0,208840000.0,208840000.0,208840000.0,207610000.0,220202000.0,3231495000.0,218340423.864078,176481000.0,470347000.0,740952637.0,,3280000.0,-1857000.0,260592000.0,448429000.0,,275041000.0,,572165000.0,128060000.0,743867641.0,-12512000.0,3439603000.0,3231495000.0,-3011576.135922,66201000.0,0.240695,401538000.0,77565858000.0,3756280000.0,379254000.0,3439603000.0,74126255000.0,470347000.0,187837000.0,-12512000.0,-12512000.0,,2915004.0,19888000.0
2023-12-31,3M,EUR,148797000.0,7035000.0,,,600564000.0,384777000.0,3065000.0,600564000.0,3454740000.0,3605000.0,,,249705000.0,3509432000.0,941571000.0,37061000.0,125625000.0,206869000.0,28727000.0,,152821000.0,385529000.0,3777593000.0,4554530000.0,4554530000.0,385998000.0,6324537901.0,249705000.0,249705000.0,249705000.0,0.0,249705000.0,249705000.0,249705000.0,232708000.0,212514000.0,3247871000.0,272479730.385467,231960000.0,580546000.0,741140846.0,81244000.0,,44604000.0,304471000.0,884562000.0,48813000.0,315098000.0,240836000.0,821870000.0,74572000.0,744040141.0,-28739000.0,3454740000.0,3247871000.0,-5964269.614533,65393000.0,0.207532,1397286000.0,77830851000.0,3777593000.0,385998000.0,3454740000.0,74376111000.0,580546000.0,431294000.0,-28739000.0,-28739000.0,998743000.0,2899295.0,19781000.0
2024-03-31,3M,EUR,,8789000.0,742468013.0,0.297,600669000.0,923948000.0,522284000.0,600669000.0,3750142000.0,0.0,744976351.0,0.296,220513000.0,39702897000.0,1299011000.0,131096000.0,125625000.0,205562000.0,11622000.0,,138958000.0,375391000.0,4065542000.0,58259595000.0,58259595000.0,375756000.0,7555523172.0,220513000.0,220513000.0,220513000.0,,220513000.0,220513000.0,220513000.0,236433000.0,210466000.0,3544580000.0,229126157.962661,210159000.0,528802000.0,742192846.0,79937000.0,3148000.0,0.0,234124000.0,568641000.0,,297545000.0,,220513000.0,131096000.0,745092141.0,-11622000.0,3750142000.0,3544580000.0,-3008842.037339,77032000.0,0.258892,532721000.0,79109053000.0,4065542000.0,375756000.0,3750142000.0,75358911000.0,528802000.0,334517000.0,-11622000.0,-11622000.0,536332000.0,2899295.0,19781000.0
