symbol,asOfDate,periodType,currencyCode,Amortization,BasicAverageShares,BasicEPS,CostOfRevenue,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GeneralAndAdministrativeExpense,GrossProfit,ImpairmentOfCapitalAssets,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeDiscontinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherOperatingExpenses,OtherSpecialCharges,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,RentAndLandingFees,RentExpenseSupplemental,SellingAndMarketingExpense,SellingGeneralAndAdministration,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalOperatingIncomeAsReported,TotalOtherFinanceCost,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,WriteOff
DAN.MI,2020-06-30,12M,EUR,12416000.0,74397990.0,0.845265,1668246000.0,95980000.0,83564000.0,74397990.0,0.845265,62886000.0,109181000.0,206345000.0,55081000.0,715396000.0,983000.0,8122000.0,8122000.0,13417000.0,13417000.0,461000.0,62886000.0,62886000.0,78803000.0,-16378000.0,62886000.0,79264000.0,62425000.0,-8489000.0,-8489000.0,201570000.0,75540587.686401,621369000.0,94027000.0,2383642000.0,57241000.0,2273000.0,0.0,101059000.0,1668246000.0,97164000.0,14393000.0,14393000.0,1490000.0,56571000.0,-2414000.0,1051587.686401,22256000.0,0.220228,2289615000.0,91613000.0,13784000.0,2383642000.0,4775000.0,4775000.0,-842000.0
DAN.MI,2021-06-30,12M,EUR,11477000.0,74216000.0,1.080481,2043327000.0,96467000.0,84990000.0,74216000.0,1.080481,80189000.0,136921000.0,234722000.0,52168000.0,593705000.0,0.0,4085000.0,4085000.0,11101000.0,11101000.0,-143000.0,80189000.0,80189000.0,97970000.0,-17637000.0,80189000.0,97826000.0,80333000.0,10220000.0,10220000.0,235157000.0,98146823.797766,616821000.0,-23116000.0,2637032000.0,78943000.0,188000.0,0.0,132836000.0,2043327000.0,97801000.0,16731000.0,16731000.0,354000.0,52522000.0,-10042000.0,-114176.202234,34866000.0,0.262474,2660148000.0,143878000.0,-3204000.0,2637032000.0,-435000.0,-435000.0,9854000.0
DAN.MI,2022-06-30,12M,EUR,9741000.0,74095000.0,2.9416,2841435000.0,109395000.0,99654000.0,74095000.0,2.9416,218715000.0,298670000.0,414135000.0,,630981000.0,5170000.0,2881000.0,2881000.0,13347000.0,13347000.0,-378000.0,218715000.0,218715000.0,227644000.0,-8552000.0,218715000.0,227267000.0,219092000.0,-38586000.0,-38586000.0,437487000.0,245239077.014358,673855000.0,-42874000.0,3472416000.0,69425000.0,512000.0,0.0,295789000.0,2841435000.0,115465000.0,19923000.0,19923000.0,,,-40738000.0,-5379922.985642,68145000.0,0.230384,3515290000.0,209564000.0,49052000.0,3472416000.0,-23352000.0,-23352000.0,35056000.0
DAN.MI,2022-06-30,TTM,EUR,9741000.0,,,2841435000.0,109395000.0,99654000.0,,,218715000.0,298670000.0,414135000.0,,630981000.0,5170000.0,2881000.0,2881000.0,13347000.0,13347000.0,-378000.0,218715000.0,218715000.0,227644000.0,-8552000.0,218715000.0,227267000.0,219092000.0,-38586000.0,-38586000.0,437487000.0,245239077.014358,673855000.0,-42874000.0,3472416000.0,89348000.0,512000.0,0.0,295789000.0,2841435000.0,115465000.0,,,,,-40738000.0,-5379922.985642,68145000.0,0.230384,3515290000.0,209564000.0,49052000.0,3472416000.0,-23352000.0,-23352000.0,35056000.0
DAN.MI,2023-06-30,12M,EUR,13511000.0,74017000.0,3.2815,3070388000.0,118162000.0,104651000.0,74017000.0,3.2815,243642000.0,303706000.0,446247000.0,,1003382000.0,16656000.0,6544000.0,6544000.0,42186000.0,42186000.0,-14000.0,243642000.0,243642000.0,241297000.0,2359000.0,243642000.0,241283000.0,243656000.0,18466000.0,18466000.0,449047000.0,256825925.599505,753617000.0,249765000.0,4073770000.0,95509000.0,541000.0,0.0,297162000.0,3070388000.0,142541000.0,23426000.0,23426000.0,,,-41273000.0,-1903074.400495,55865000.0,0.187995,3824005000.0,265064000.0,17176000.0,4073770000.0,-2800000.0,-10123000.0,16753000.0
DAN.MI,2023-06-30,TTM,EUR,,74017000.0,3.2815,,,,74017511.0,3.2815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAN.MI,2023-12-31,TTM,EUR,,74017511.0,3.627819,2796232000.0,134198000.0,120687000.0,74017511.0,3.627819,268330000.0,288718000.0,422916000.0,,1545121000.0,,,,65156000.0,65156000.0,714000.0,268330000.0,268330000.0,262569000.0,5047000.0,268330000.0,263283000.0,267616000.0,63628000.0,63628000.0,423754000.0,269806185.345287,1296329000.0,248792000.0,4341353000.0,598367000.0,,0.0,328495000.0,2796232000.0,134198000.0,,,,,,-1637814.654713,65925000.0,0.200688,4092561000.0,270464000.0,,4341353000.0,-838000.0,-8161000.0,
