symbol,asOfDate,periodType,currencyCode,BeginningCashPosition,CapitalExpenditure,CashDividendsPaid,ChangeInCashSupplementalAsReported,ChangeInOtherCurrentAssets,ChangeInOtherCurrentLiabilities,ChangeInWorkingCapital,ChangesInCash,CommonStockDividendPaid,DeferredTax,DividendsReceivedCFI,EffectOfExchangeRateChanges,EndCashPosition,FinancingCashFlow,FreeCashFlow,GainLossOnInvestmentSecurities,InvestingCashFlow,NetBusinessPurchaseAndSale,NetCommonStockIssuance,NetIncome,NetIncomeFromContinuingOperations,NetIntangiblesPurchaseAndSale,NetPPEPurchaseAndSale,OperatingCashFlow,OtherNonCashItems,ProvisionandWriteOffofAssets,PurchaseOfBusiness,PurchaseOfIntangibles,PurchaseOfPPE,SaleOfBusiness,SaleOfIntangibles,SaleOfPPE
BPSO.MI,2019-12-31,12M,EUR,,,-22487000.0,,54770000.0,26483000.0,,,-22487000.0,,,,,,,,,,,,,,,,,,,,,,,
BPSO.MI,2020-12-31,12M,EUR,1826427000.0,-46112000.0,,3508705000.0,-146926000.0,54394000.0,3154020000.0,3508705000.0,,47183000.0,10581000.0,2748000.0,5337880000.0,-14000.0,3489614000.0,-280000.0,-27007000.0,6612000.0,-14000.0,106597000.0,109743000.0,-14022000.0,-30178000.0,3535726000.0,-24609000.0,249669000.0,-667000.0,-14022000.0,-32090000.0,7279000.0,0.0,1912000.0
BPSO.MI,2021-12-31,12M,EUR,5337880000.0,-58393000.0,-26353000.0,274766000.0,-489366000.0,49271000.0,-240435000.0,274766000.0,-26353000.0,99525000.0,10949000.0,40087000.0,5652733000.0,-26422000.0,286117000.0,-49532000.0,-43322000.0,0.0,-69000.0,268634000.0,275020000.0,-19302000.0,-34969000.0,344510000.0,30581000.0,229351000.0,0.0,-19302000.0,-39091000.0,0.0,0.0,4122000.0
BPSO.MI,2022-12-31,12M,EUR,5652733000.0,-130164000.0,-90463000.0,1290927000.0,,,809729000.0,1290927000.0,-90463000.0,102569000.0,12765000.0,47029000.0,6990689000.0,-89940000.0,1449149000.0,60699000.0,-198446000.0,-81991000.0,523000.0,251321000.0,251321000.0,-18263000.0,-110957000.0,1579313000.0,57509000.0,297486000.0,-84491000.0,-18263000.0,-111901000.0,2500000.0,0.0,944000.0
BPSO.MI,2023-12-31,12M,EUR,6990689000.0,-120155000.0,-126948000.0,-2504243000.0,,,-3205902000.0,-2504243000.0,-126948000.0,199122000.0,16303000.0,60113000.0,4546559000.0,-126922000.0,-2426292000.0,-59558000.0,-71184000.0,3000.0,26000.0,461162000.0,461162000.0,-19634000.0,-67856000.0,-2306137000.0,-78026000.0,377065000.0,0.0,-19634000.0,-100521000.0,3000.0,0.0,32665000.0
BPSO.MI,2024-03-31,TTM,EUR,,,,,,,,,,,,,,,,,,,,511983000.0,,,,,,,,,,,,
