symbol,asOfDate,periodType,currencyCode,BasicAverageShares,BasicEPS,CostOfRevenue,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GeneralAndAdministrativeExpense,GrossProfit,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,SellingAndMarketingExpense,SellingGeneralAndAdministration,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalOperatingIncomeAsReported,TotalRevenue
MONC.MI,2023-06-30,TTM,EUR,269448770.0,2.02,,269448770.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONC.MI,2023-12-31,TTM,EUR,270315079.0,2.265263,683387000.0,270315079.0,2.265263,611931000.0,902970000.0,1194670000.0,331231000.0,2300830000.0,32335000.0,32335000.0,11341000.0,11341000.0,29000.0,611931000.0,611931000.0,611902000.0,611931000.0,611931000.0,611902000.0,-20994000.0,-20994000.0,1194670000.0,611931000.0,1406991000.0,893839000.0,2984217000.0,0.0,870635000.0,683387000.0,291700000.0,1075760000.0,1406991000.0,0.0,258733000.0,0.297,2090378000.0,893839000.0,2984217000.0
