symbol,asOfDate,periodType,currencyCode,BeginningCashPosition,CapitalExpenditure,CashDividendsPaid,CashFlowsfromusedinOperatingActivitiesDirect,ChangeInCashSupplementalAsReported,ChangeInOtherCurrentAssets,ChangeInOtherCurrentLiabilities,ChangeInWorkingCapital,ChangesInCash,ClassesofCashPayments,ClassesofCashReceiptsfromOperatingActivities,CommonStockDividendPaid,CommonStockPayments,DividendReceivedCFO,DividendsReceivedCFI,EndCashPosition,FinancingCashFlow,FreeCashFlow,InterestPaidCFO,InterestReceivedCFO,InvestingCashFlow,NetBusinessPurchaseAndSale,NetCommonStockIssuance,NetIncome,NetIntangiblesPurchaseAndSale,NetOtherInvestingChanges,NetPPEPurchaseAndSale,OperatingCashFlow,OtherCashAdjustmentOutsideChangeinCash,OtherCashPaymentsfromOperatingActivities,OtherCashReceiptsfromOperatingActivities,OtherNonCashItems,PurchaseOfIntangibles,PurchaseOfPPE,ReceiptsfromCustomers,RepurchaseOfCapitalStock,SaleOfIntangibles,SaleOfPPE,TaxesRefundPaid
INT.MI,2019-12-31,12M,EUR,,,,35227000.0,,,,,,-18313000.0,53541000.0,,,,,,,,,,,,,,,,,,,-18313000.0,22137000.0,31404000.0,,,31404000.0,,,,
INT.MI,2020-12-31,12M,EUR,43529968.0,-1007372.0,-6313813.0,21981000.0,-17723363.0,-11546504.0,-22876153.0,-34422657.0,-17723363.0,-22876000.0,44857000.0,-6313813.0,,2970899.0,,25806605.0,-6313813.0,-12199912.0,-1517839.0,131623.0,-217010.0,,0.0,7752586.0,-45469.0,,-171541.0,-11192540.0,1000.0,-22876000.0,21627000.0,23230000.0,-85781.0,-921591.0,23230000.0,,40312.0,750050.0,-2429446.0
INT.MI,2021-12-31,12M,EUR,25806605.0,-506766.0,-19251334.0,,-12969283.0,-68065463.0,71592589.0,3527126.0,-12969283.0,,,-19251334.0,-6517758.0,5994382.0,0.0,12837322.0,-25769092.0,12260514.0,-2487321.0,610011.0,539295.0,5949480.0,-6517758.0,7196024.0,12679.0,,526616.0,12260514.0,,,,,-449072.0,0.0,,-6517758.0,12679.0,526616.0,-3085869.0
INT.MI,2022-12-31,12M,EUR,11278772.0,-80439.0,-7874594.0,,1232333.0,125587784.0,-124942493.0,645291.0,1232333.0,,,-7874594.0,-652187.0,7978590.0,,12483329.0,-7874594.0,8167255.0,-1371719.0,723391.0,859233.0,-21783.0,0.0,6537591.0,-80439.0,,939672.0,8247694.0,-27776.0,,,,-80439.0,0.0,,-652187.0,0.0,939672.0,-2647430.0
INT.MI,2023-12-31,12M,EUR,13098468.0,-54730.0,-17234359.0,,20323233.0,10793562.0,14941577.0,25735139.0,20323233.0,,,-17234359.0,,7815388.0,,33421701.0,-9191698.0,28686250.0,-4912378.0,4611327.0,773951.0,,8042661.0,2519033.0,-54730.0,-1.0,828682.0,28740980.0,,,,,-54730.0,0.0,,,,828682.0,-1151328.0
INT.MI,2023-12-31,TTM,EUR,13098468.0,-54730.0,-17234359.0,,20323233.0,10793562.0,14941577.0,25735139.0,20323233.0,,,-17234359.0,,7815388.0,,33421701.0,-9191698.0,28686250.0,-4912378.0,4611327.0,773951.0,,8042661.0,2519033.0,-54730.0,-1.0,828682.0,28740980.0,,,,,-54730.0,0.0,,,,828682.0,-1151328.0
