symbol,asOfDate,periodType,currencyCode,BeginningCashPosition,CapitalExpenditure,ChangeInAccruedExpense,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,DeferredTax,Depreciation,DepreciationAndAmortization,EndCashPosition,FinancingCashFlow,FreeCashFlow,GainLossOnInvestmentSecurities,InterestPaidCFO,InvestingCashFlow,NetIncome,NetIncomeFromContinuingOperations,NetIntangiblesPurchaseAndSale,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetPPEPurchaseAndSale,NetShortTermDebtIssuance,OperatingCashFlow,OtherNonCashItems,ProvisionandWriteOffofAssets,PurchaseOfIntangibles,PurchaseOfInvestment,PurchaseOfPPE,SaleOfIntangibles,SaleOfPPE,TaxesRefundPaid
LON.MI,2019-12-31,TTM,EUR,,,,,,,,,,,,,,,,,-9685.0,,,,,,,,,,,,,-574853.0,,,,19581.0,-253199.0
LON.MI,2023-12-31,TTM,EUR,1375484.0,-1027712.0,-61610.0,54677.0,69712.0,-100791.0,-135042.0,-477162.0,-704893.0,54677.0,127287.0,716168.0,716168.0,1430161.0,1471842.0,-1418765.0,,-328716.0,-1026112.0,-525271.0,-525271.0,-155561.0,0.0,576190.0,-870551.0,576190.0,-391053.0,225646.0,204787.0,-157161.0,0.0,-870551.0,1600.0,0.0,-10263.0
