symbol,asOfDate,periodType,currencyCode,BeginningCashPosition,CapitalExpenditure,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInOtherCurrentLiabilities,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStockDividendPaid,CommonStockIssuance,Depreciation,DepreciationAndAmortization,EndCashPosition,FinancingCashFlow,FreeCashFlow,InvestingCashFlow,IssuanceOfCapitalStock,NetBusinessPurchaseAndSale,NetCommonStockIssuance,NetIncome,NetIncomeFromContinuingOperations,NetIntangiblesPurchaseAndSale,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetOtherFinancingCharges,NetPPEPurchaseAndSale,OperatingCashFlow,OtherCashAdjustmentOutsideChangeinCash,PurchaseOfBusiness,PurchaseOfInvestment,SaleOfIntangibles,SaleOfPPE
TLS.MI,2019-12-31,12M,EUR,,,,,,-928862.0,,,,,,,,,,,,,,-6528048.0,,,,,-30737.0,,,,,,-1.0,-6528048.0,-30737.0,23146.0,665107.0
TLS.MI,2019-12-31,TTM,EUR,,,,,,,,,,,,,,,,,,,,-6528048.0,,,,,,,,5598169.0,665107.0,,-1.0,-6528048.0,,23146.0,665107.0
TLS.MI,2020-12-31,12M,EUR,1125000.0,-169000.0,780000.0,28000.0,382000.0,-40079.0,249000.0,-3669000.0,-3010000.0,780000.0,0.0,145000.0,512000.0,512000.0,1905000.0,3279000.0,-2798000.0,130000.0,145000.0,0.0,145000.0,-72000.0,-131000.0,299000.0,0.0,3030000.0,3030000.0,104000.0,-169000.0,-2629000.0,,0.0,0.0,0.0,16279.0
TLS.MI,2021-12-31,12M,EUR,1125000.0,-169000.0,780000.0,28000.0,382000.0,,249000.0,-3669000.0,-3010000.0,780000.0,0.0,145000.0,512000.0,512000.0,1905000.0,3279000.0,-2798000.0,130000.0,145000.0,,145000.0,-131000.0,-131000.0,299000.0,0.0,3030000.0,3030000.0,104000.0,-169000.0,-2629000.0,,,,,
TLS.MI,2022-12-31,12M,EUR,1905000.0,-6266000.0,-1329000.0,0.0,1070000.0,,2372000.0,6224000.0,9666000.0,-1329000.0,0.0,71000.0,508000.0,508000.0,576000.0,-4928000.0,3599000.0,-6266000.0,71000.0,0.0,71000.0,-309000.0,-309000.0,-6019000.0,0.0,-2017000.0,-2017000.0,-2911000.0,-247000.0,9865000.0,,,,,
TLS.MI,2023-12-31,12M,EUR,576000.0,,-67000.0,0.0,-299000.0,,792000.0,-5067000.0,-4574000.0,-67000.0,0.0,,-493000.0,-493000.0,509000.0,4624000.0,-5200000.0,509000.0,,0.0,,-133000.0,-133000.0,293000.0,,4042000.0,4042000.0,582000.0,216000.0,-5200000.0,,,,,
TLS.MI,2023-12-31,TTM,EUR,576000.0,,-67000.0,0.0,-299000.0,,792000.0,-5067000.0,-4574000.0,-67000.0,0.0,,-493000.0,-493000.0,509000.0,4624000.0,-5200000.0,509000.0,,0.0,,-133000.0,-133000.0,293000.0,,4042000.0,4042000.0,582000.0,216000.0,-5200000.0,,,,,
