asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AssetsHeldForSaleCurrent,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,FinishedGoods,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,Inventory,InvestedCapital,InvestmentinFinancialAssets,LandAndImprovements,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermProvisions,MachineryFurnitureEquipment,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentLiabilities,OtherIntangibleAssets,OtherInvestments,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,Properties,RawMaterials,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TradeandOtherPayablesNonCurrent,TreasurySharesNumber,WorkInProcess,WorkingCapital
2022-12-31,3M,EUR,97556000.0,39171000.0,18042000.0,-923000.0,0.0,88000.0,17962000.0,2172000.0,9579000.0,56244000.0,8928000.0,651000.0,2172000.0,55485000.0,0.0,206694000.0,24174000.0,24174000.0,148759000.0,6005000.0,7304000.0,8253000.0,40094000.0,27689000.0,97746000.0,110373000.0,88000.0,155000.0,30714000.0,30714000.0,1554000.0,6401000.0,45309000.0,27689000.0,47232000.0,1392000.0,18000.0,858000.0,6000.0,21419541.0,-1000.0,949000.0,51000.0,,5802000.0,4415000.0,3171000.0,1893000.0,46665000.0,122362000.0,0.0,7694000.0,31364000.0,21719097.0,55485000.0,47232000.0,11640000.0,244174000.0,86199000.0,54888000.0,55485000.0,188689000.0,37479000.0,39930000.0,20391000.0,984000.0,299556.0,84047000.0,57935000.0
2023-06-30,3M,EUR,92412000.0,39385000.0,18042000.0,-1939000.0,0.0,57000.0,15224000.0,2172000.0,7935000.0,50127000.0,7690000.0,245000.0,2172000.0,65462000.0,,218147000.0,27967000.0,27967000.0,147099000.0,5163000.0,7304000.0,8174000.0,41324000.0,26707000.0,116748000.0,126289000.0,57000.0,173000.0,32860000.0,32860000.0,2335000.0,8487000.0,52892000.0,26707000.0,57288000.0,1459000.0,17000.0,890000.0,3000.0,21549541.0,,870000.0,51000.0,1000.0,5587000.0,1779000.0,2823000.0,914000.0,42192000.0,117273000.0,0.0,6946000.0,41246000.0,21719097.0,65462000.0,57288000.0,10973000.0,254598000.0,98322000.0,60827000.0,65462000.0,189136000.0,36452000.0,42037000.0,23082000.0,348000.0,169556.0,104639000.0,71048000.0
2023-12-31,3M,EUR,70632000.0,53504000.0,37826000.0,-1781000.0,0.0,1006000.0,18894000.0,2253000.0,12620000.0,42292000.0,11648000.0,972000.0,2253000.0,72610000.0,0.0,237798000.0,45587000.0,45587000.0,175508000.0,13607000.0,55550000.0,57296000.0,55285000.0,40340000.0,41813000.0,196818000.0,1006000.0,173000.0,78621000.0,78621000.0,4355000.0,16019000.0,111588000.0,40340000.0,15314000.0,3777000.0,151000.0,1379000.0,14000.0,22357414.0,1000.0,1746000.0,66000.0,,9843000.0,7064000.0,5254000.0,1524000.0,29672000.0,111052000.0,0.0,10453000.0,25564000.0,22526970.0,72610000.0,15314000.0,98665000.0,342645000.0,151231000.0,124208000.0,72610000.0,270035000.0,104849000.0,94527000.0,33356000.0,178000.0,169556.0,17753000.0,62290000.0
