symbol,asOfDate,periodType,currencyCode,AmortizationCashFlow,BeginningCashPosition,CapitalExpenditure,ChangeInAccruedExpense,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,Depreciation,DepreciationAndAmortization,EndCashPosition,FinancingCashFlow,FreeCashFlow,InterestPaidCFO,InvestingCashFlow,IssuanceOfDebt,LongTermDebtIssuance,LongTermDebtPayments,NetCommonStockIssuance,NetIncome,NetIncomeFromContinuingOperations,NetIntangiblesPurchaseAndSale,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetOtherInvestingChanges,NetPPEPurchaseAndSale,NetShortTermDebtIssuance,OperatingCashFlow,OtherCashAdjustmentOutsideChangeinCash,ProvisionandWriteOffofAssets,PurchaseOfIntangibles,PurchaseOfInvestment,PurchaseOfPPE,RepaymentOfDebt,SaleOfInvestment,TaxesRefundPaid
SCK.MI,2017-12-31,TTM,EUR,,,,,566517.0,,,,,,,,,,,,,,1000445.0,1000445.0,-29409.0,,,,,,,,-1.0,,,,-1.0,,-267517.0,,-545092.0,-29409.0,37641.0,52401.0
SCK.MI,2023-12-31,TTM,EUR,892000.0,9578000.0,-67115000.0,8342000.0,3042000.0,55934000.0,-70996000.0,-26924000.0,-14333000.0,-47977000.0,3042000.0,3995000.0,4887000.0,12620000.0,88931000.0,-102859000.0,-13547000.0,-50145000.0,47908000.0,47908000.0,,19609000.0,-2484000.0,16903000.0,-49042000.0,16970000.0,69322000.0,47908000.0,,-18073000.0,21414000.0,-35744000.0,,10552000.0,-49042000.0,-23000.0,-18073000.0,,16993000.0,
