symbol,asOfDate,periodType,currencyCode,BeginningCashPosition,CapitalExpenditure,CashDividendsPaid,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentLiabilities,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStockDividendPaid,CommonStockIssuance,Depreciation,DepreciationAndAmortization,EndCashPosition,FinancingCashFlow,FreeCashFlow,InterestPaidCFO,InterestReceivedCFO,InvestingCashFlow,IssuanceOfCapitalStock,IssuanceOfDebt,LongTermDebtIssuance,LongTermDebtPayments,NetBusinessPurchaseAndSale,NetCommonStockIssuance,NetIncome,NetIncomeFromContinuingOperations,NetIntangiblesPurchaseAndSale,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetOtherInvestingChanges,NetPPEPurchaseAndSale,OperatingCashFlow,OtherNonCashItems,PensionAndEmployeeBenefitExpense,ProvisionandWriteOffofAssets,PurchaseOfBusiness,PurchaseOfIntangibles,PurchaseOfPPE,RepaymentOfDebt,SaleOfBusiness,SaleOfIntangibles,SaleOfInvestment,SaleOfPPE,TaxesRefundPaid
ADB.MI,2019-09-30,TTM,EUR,,,-16220000.0,,,,,,,,,,,,,,,,,,,,,,506000.0,,,,,,,,-5559000.0,,,,,,,,,,,,10606000.0,,
ADB.MI,2019-12-31,12M,EUR,,,-16220000.0,,,,,,,,-16220000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADB.MI,2020-12-31,12M,EUR,29253000.0,-28582000.0,,14405000.0,-54000.0,-6672000.0,-4925000.0,12201000.0,550000.0,14405000.0,0.0,0.0,10628000.0,10628000.0,43658000.0,56745000.0,-42550000.0,-827000.0,80000.0,-28372000.0,0.0,63900000.0,63900000.0,-6793000.0,0.0,0.0,-13590000.0,-18414000.0,-27557000.0,207000.0,57107000.0,57107000.0,,-1022000.0,-13968000.0,-551000.0,142000.0,2844000.0,0.0,-27557000.0,-1025000.0,-6793000.0,0.0,0.0,,3000.0,-2252000.0
ADB.MI,2021-12-31,12M,EUR,43658000.0,-8895000.0,,-15443000.0,-59000.0,6093000.0,5423000.0,-15874000.0,-4417000.0,-15443000.0,,0.0,10555000.0,10555000.0,28215000.0,-3508000.0,-12209000.0,-1268000.0,2000.0,-8621000.0,0.0,0.0,0.0,-3076000.0,0.0,0.0,-6717000.0,-8949000.0,-8469000.0,274000.0,-3076000.0,-3076000.0,,-426000.0,-3314000.0,703000.0,112000.0,1343000.0,0.0,-8469000.0,-426000.0,-3076000.0,0.0,0.0,,0.0,0.0
ADB.MI,2022-12-31,12M,EUR,28215000.0,-18367000.0,,-347000.0,-177000.0,5600000.0,6552000.0,7486000.0,19461000.0,-347000.0,,0.0,13924000.0,13924000.0,27868000.0,-6844000.0,51561000.0,-1363000.0,1000.0,-63431000.0,0.0,0.0,0.0,-6197000.0,-75000.0,0.0,31109000.0,35917000.0,-16294000.0,-45000000.0,-6197000.0,-6197000.0,,-2062000.0,69928000.0,-375000.0,146000.0,4943000.0,-75000.0,-16305000.0,-2062000.0,-6197000.0,0.0,11000.0,,0.0,-37000.0
ADB.MI,2023-12-31,12M,EUR,27868000.0,-28790000.0,,16466000.0,34000.0,8030000.0,2028000.0,-10064000.0,28000.0,16466000.0,,0.0,11712000.0,11712000.0,44334000.0,-29563000.0,6022000.0,-2058000.0,730000.0,11217000.0,0.0,15000000.0,15000000.0,-43961000.0,0.0,0.0,16706000.0,23422000.0,-26500000.0,40000000.0,-28961000.0,-28961000.0,,-2283000.0,34812000.0,1184000.0,140000.0,6586000.0,0.0,-26507000.0,-2283000.0,-43961000.0,0.0,7000.0,,0.0,-3405000.0
ADB.MI,2024-03-31,TTM,EUR,31986000.0,-34691000.0,,4921000.0,91000.0,748000.0,3805000.0,-1911000.0,2733000.0,4921000.0,,,11702000.0,12079000.0,36907000.0,-30323000.0,6132000.0,-1950000.0,819000.0,-5579000.0,,,,-44712000.0,-200000.0,,19072000.0,26857000.0,-31448000.0,29305000.0,-29712000.0,-29712000.0,,-3236000.0,40823000.0,795000.0,131000.0,6363000.0,-200000.0,-31455000.0,-3236000.0,-44712000.0,,,,,
