symbol,asOfDate,periodType,currencyCode,Amortization,BasicAverageShares,BasicEPS,CostOfRevenue,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GeneralAndAdministrativeExpense,GrossProfit,ImpairmentOfCapitalAssets,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherOperatingExpenses,OtherSpecialCharges,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,RentAndLandingFees,RentExpenseSupplemental,SellingAndMarketingExpense,SellingGeneralAndAdministration,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalOperatingIncomeAsReported,TotalOtherFinanceCost,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,WriteOff
JUVE.MI,2020-06-30,12M,EUR,193475910.0,171863419.0,-0.520133,274623672.0,183993474.0,183993474.0,171863419.0,-0.520133,-89682106.0,-70204094.0,141760107.0,54798000.0,297798419.0,26900000.0,11453000.0,11453000.0,4178000.0,4178000.0,-89682106.0,-89682106.0,-89682106.0,-89682106.0,-89682106.0,-89682106.0,-8536000.0,-8536000.0,167658107.0,-69999626.0,337914599.0,-40116180.0,572422091.0,67136729.0,-1002000.0,0.0,-81657094.0,274623672.0,211964201.0,3132000.0,3132000.0,2462000.0,57260000.0,-25898000.0,-6215520.0,8025012.0,0.24,612538271.0,-67060716.0,1261000.0,572422091.0,-25898000.0,-25898000.0,15468313.0
JUVE.MI,2021-06-30,12M,EUR,177317000.0,155828466.0,-1.34879,314066460.0,196857420.0,19540420.0,155828466.0,-1.34879,-209885432.0,-191403171.0,25839367.0,49597000.0,164509830.0,20120000.0,16397000.0,16397000.0,5090000.0,5090000.0,-209885432.0,-209885432.0,-209885432.0,-209885432.0,-209885432.0,-209885432.0,-12093000.0,-12093000.0,43017367.0,-196830152.0,343628936.0,-179119106.0,478576290.0,68767857.0,-2136000.0,0.0,-207800171.0,314066460.0,217242538.0,1077000.0,1077000.0,1275000.0,50872000.0,-17178000.0,-4122720.0,2085261.0,0.24,657695396.0,-197194261.0,786000.0,478576290.0,-17178000.0,-17178000.0,-806000.0
JUVE.MI,2022-06-30,12M,EUR,170217000.0,231269186.0,-1.032934,324087062.0,187091423.0,16874423.0,231269186.0,-1.032934,-239257714.0,-221792168.0,-31557102.0,56744000.0,118560370.0,3143000.0,15645000.0,15645000.0,2915000.0,2915000.0,-239257714.0,-239257714.0,-239257714.0,-239257714.0,-239257714.0,-239257714.0,-17036000.0,-17036000.0,-29085102.0,-237378994.0,336573470.0,-218013100.0,442647432.0,60761535.0,-733000.0,0.0,-237437168.0,324087062.0,190235066.0,965000.0,965000.0,2240000.0,58984000.0,-2472000.0,-593280.0,1820546.0,0.24,660660532.0,-221654334.0,4306000.0,442647432.0,-2472000.0,-2472000.0,62000.0
JUVE.MI,2023-06-30,12M,EUR,146417000.0,296074084.0,-0.418296,271692421.0,160924663.0,14507663.0,296074084.0,-0.418296,-123693576.0,-99560402.0,74082258.0,74969000.0,235279692.0,12718000.0,17788000.0,17788000.0,3041000.0,3041000.0,-123693576.0,-123693576.0,-123693576.0,-123693576.0,-123693576.0,-123693576.0,-19758000.0,-19758000.0,87868258.0,-113216216.0,319201179.0,-83921487.0,506972113.0,50307215.0,-681000.0,0.0,-117348402.0,271692421.0,173642660.0,477000.0,477000.0,3034000.0,78003000.0,-13786000.0,-3308640.0,6345174.0,0.24,590893600.0,-99289583.0,5011000.0,506972113.0,-13786000.0,-13786000.0,1749000.0
JUVE.MI,2023-06-30,TTM,EUR,,252747877.0,-0.49,,,,252747877.0,-0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUVE.MI,2023-12-31,TTM,EUR,131983000.0,296074084.0,-0.639395,268737064.0,145696557.0,13713557.0,296074084.0,-0.639395,-189342286.0,-162510192.0,-4135771.0,68076000.0,152630806.0,12678000.0,22327000.0,22327000.0,3332000.0,3332000.0,-189342286.0,-189342286.0,-189342286.0,-189342286.0,-189342286.0,-189342286.0,-23690000.0,-23690000.0,7911814.0,-180186121.4,302021748.0,-149390942.0,421367870.0,56649215.0,-709000.0,0.0,-184837192.0,268737064.0,158374421.0,479000.0,479000.0,2896000.0,70972000.0,-12047585.0,-2891420.4,4505093.0,0.24,570758812.0,-162867491.0,4695000.0,421367870.0,-12047585.0,-12047585.0,78585.0
