symbol,asOfDate,periodType,currencyCode,BeginningCashPosition,CapitalExpenditure,CapitalExpenditureReported,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStockIssuance,Depreciation,DepreciationAndAmortization,EndCashPosition,FinancingCashFlow,FreeCashFlow,GainLossOnSaleOfPPE,InterestPaidCFF,InterestReceivedCFI,InvestingCashFlow,IssuanceOfCapitalStock,IssuanceOfDebt,LongTermDebtIssuance,LongTermDebtPayments,NetBusinessPurchaseAndSale,NetCommonStockIssuance,NetIncome,NetIncomeFromContinuingOperations,NetIntangiblesPurchaseAndSale,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetOtherFinancingCharges,NetOtherInvestingChanges,NetPPEPurchaseAndSale,NetShortTermDebtIssuance,OperatingCashFlow,OtherCashAdjustmentOutsideChangeinCash,OtherNonCashItems,PensionAndEmployeeBenefitExpense,PurchaseOfBusiness,PurchaseOfIntangibles,PurchaseOfInvestment,PurchaseOfPPE,RepaymentOfDebt,SaleOfBusiness,SaleOfIntangibles,SaleOfPPE,TaxesRefundPaid
JUVE.MI,2020-06-30,12M,EUR,9744722.0,-478530435.0,-5234260.0,-36589791.0,,,2268324.0,-49441886.0,-47173562.0,-36589791.0,297984444.0,211964201.0,211964201.0,-26845069.0,157365566.0,-537181001.0,-167098097.0,-12299092.0,57660.0,-135304791.0,297984444.0,35000000.0,35000000.0,-76228500.0,-364346.0,297984444.0,-89682106.0,-81657094.0,-129797527.0,-364346.0,-123459235.0,-41228500.0,14940.0,,-5200578.0,-82230735.0,-58650566.0,,39573183.0,11366807.0,-364346.0,-473296175.0,-364346.0,-5234260.0,-76228500.0,,343498648.0,33682.0,-8612657.0
JUVE.MI,2021-06-30,12M,EUR,5917079.0,-198418010.0,,4616382.0,23845.0,,1250904.0,63314598.0,58157907.0,4616382.0,0.0,217242538.0,217242538.0,10533461.0,-24875179.0,-156394791.0,-30635477.0,-10838607.0,139676.0,-12531658.0,0.0,41453278.0,41453278.0,-49020429.0,0.0,0.0,-209885432.0,-209885432.0,-6535122.0,0.0,-7567151.0,-7567151.0,-6469421.0,139676.0,-6136212.0,38800106.0,42023219.0,,11197081.0,23420886.0,0.0,-192281798.0,0.0,-6136212.0,-49020429.0,,185746676.0,,-3462227.0
JUVE.MI,2022-06-30,12M,EUR,10533461.0,-233717480.0,,59780594.0,1172465.0,1293723.0,18312337.0,8747560.0,29526085.0,59780594.0,393800646.0,190235066.0,190235066.0,70314055.0,203025467.0,-265851747.0,-27902508.0,-9733789.0,,-111110606.0,393800646.0,0.0,0.0,-82120237.0,-212949.0,393800646.0,-239257714.0,-239257714.0,-110060769.0,,-178421294.0,-82120237.0,-2620096.0,3955311.0,-4792199.0,-96301057.0,-32134267.0,,15870528.0,,-212949.0,-228925281.0,,-4792199.0,-82120237.0,,118864512.0,,-518030.0
JUVE.MI,2023-06-30,12M,EUR,70314055.0,-240392264.0,,-21637423.0,-2650853.0,-3060238.0,-63439895.0,8424554.0,-60726432.0,-21637424.0,0.0,173642660.0,173642660.0,48676632.0,148107788.0,-282645937.0,-46672892.0,-12271303.0,,-127491539.0,0.0,70000000.0,70000000.0,-23752049.0,1504277.0,0.0,-123693576.0,-123693576.0,-76153717.0,,161560884.0,46247951.0,-1181793.0,772666.0,-53614765.0,115312933.0,-42253673.0,1.0,18216306.0,,1504277.0,-186777499.0,,-53614765.0,-23752049.0,1504277.0,110623782.0,,-2862252.0
JUVE.MI,2023-12-31,TTM,EUR,43219635.0,-135336494.0,,-30246253.0,-403870.0,,-18306818.0,6768713.0,-13370184.0,-30246253.0,127000000.0,158374421.0,158374421.0,12973382.0,69293119.0,-185985596.0,-26418327.0,-20290066.0,,-48890270.0,127000000.0,,,-62470870.0,435781.0,127000000.0,-189342286.0,-189342286.0,-81169334.0,,27301929.0,-88011004.0,-64718744.0,36424742.0,-4581459.0,,-50649102.0,,22304848.0,,,-130755064.0,,-4581430.0,-62470870.0,,49585730.0,,-1862428.0
