asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,Amortization,BasicAverageShares,BasicEPS,BeginningCashPosition,BuildingsAndImprovements,CapitalExpenditure,CapitalExpenditureReported,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStock,CommonStockEquity,CommonStockIssuance,ConstructionInProgress,CostOfRevenue,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,Depreciation,DepreciationAndAmortization,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,EndCashPosition,EnterpriseValue,FinancingCashFlow,FreeCashFlow,GainLossOnSaleOfPPE,GeneralAndAdministrativeExpense,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,GrossProfit,ImpairmentOfCapitalAssets,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,InterestPaidCFF,InterestReceivedCFI,Inventory,InvestedCapital,InvestingCashFlow,InvestmentinFinancialAssets,IssuanceOfCapitalStock,IssuanceOfDebt,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermDebtIssuance,LongTermDebtPayments,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MarketCap,NetBusinessPurchaseAndSale,NetCommonStockIssuance,NetDebt,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeFromContinuingOperations,NetIncomeIncludingNoncontrollingInterests,NetIntangiblesPurchaseAndSale,NetInterestIncome,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetNonOperatingInterestIncomeExpense,NetOtherFinancingCharges,NetOtherInvestingChanges,NetPPE,NetPPEPurchaseAndSale,NetShortTermDebtIssuance,NetTangibleAssets,NonCurrentAccruedExpenses,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPrepaidAssets,NormalizedEBITDA,NormalizedIncome,OperatingCashFlow,OperatingExpense,OperatingIncome,OperatingRevenue,OrdinarySharesNumber,OtherCashAdjustmentOutsideChangeinCash,OtherCurrentAssets,OtherCurrentLiabilities,OtherIntangibleAssets,OtherNonCashItems,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherOperatingExpenses,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,OtherSpecialCharges,OtherunderPreferredStockDividend,Payables,PensionAndEmployeeBenefitExpense,PrepaidAssets,PretaxIncome,Properties,PurchaseOfBusiness,PurchaseOfIntangibles,PurchaseOfInvestment,PurchaseOfPPE,ReconciledCostOfRevenue,ReconciledDepreciation,RentAndLandingFees,RentExpenseSupplemental,RepaymentOfDebt,RetainedEarnings,SaleOfBusiness,SaleOfIntangibles,SaleOfPPE,SellingAndMarketingExpense,SellingGeneralAndAdministration,ShareIssued,SpecialIncomeCharges,StockholdersEquity,TangibleBookValue,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TaxesReceivable,TaxesRefundPaid,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalExpenses,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalOperatingIncomeAsReported,TotalOtherFinanceCost,TotalRevenue,TotalTaxPayable,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,TradeandOtherPayablesNonCurrent,WorkingCapital,WriteOff
2020-06-30,12M,EUR,19114044.0,62312000.0,-87703000.0,317237154.0,-9007000.0,193475910.0,171863419.0,-0.520133,9744722.0,154804000.0,-478530435.0,-5234260.0,12787000.0,11406987.0,5917079.0,27000438.0,,-36589791.0,,,2268324.0,-49441886.0,-47173562.0,-36589791.0,11406987.0,239204587.0,297984444.0,840192.0,274623672.0,262264100.0,4593000.0,129750000.0,134343143.0,434932220.0,2972467.0,211964201.0,211964201.0,183993474.0,183993474.0,171863419.0,-0.520133,-89682106.0,-70204094.0,141760107.0,-26845069.0,1539977998.0,157365566.0,-537181001.0,-167098097.0,54798000.0,,557628610.0,71319000.0,249120192.0,297798419.0,26900000.0,11453000.0,11453000.0,4178000.0,4178000.0,-12299092.0,57660.0,9150867.0,622373587.0,-135304791.0,11428535.0,297984444.0,35000000.0,15800000.0,8194000.0,253419000.0,261613062.0,35000000.0,-76228500.0,234262.0,7486178.0,45230000.0,1229418885.0,-364346.0,297984444.0,377251921.0,-89682106.0,-89682106.0,-89682106.0,-89682106.0,-89682106.0,-81657094.0,-89682106.0,-129797527.0,-8536000.0,-364346.0,-123459235.0,-41228500.0,-8536000.0,14940.0,,161417192.0,-5200578.0,-82230735.0,-318424023.0,,16127196.0,11292195.0,15308682.0,4838381.0,167658107.0,-69999626.0,-58650566.0,337914599.0,-40116180.0,572422091.0,194371546.0,,840000.0,,557628610.0,39573183.0,271000.0,632.0,67136729.0,200568012.0,32446000.0,157971375.0,21083359.0,-1002000.0,0.0,244497056.0,11366807.0,3944420.0,-81657094.0,0.0,-364346.0,-473296175.0,-364346.0,-5234260.0,274623672.0,211964201.0,3132000.0,3132000.0,-76228500.0,-89682106.0,,343498648.0,33682.0,2462000.0,57260000.0,194371546.0,-25898000.0,239204587.0,-318424023.0,-6215520.0,8025012.0,0.24,1045000.0,-8612657.0,1176876360.0,492623587.0,395956205.0,239204587.0,612538271.0,937671773.0,914612260.0,502739553.0,-67060716.0,1261000.0,572422091.0,24815000.0,-25898000.0,-25898000.0,202203803.0,-172668120.0,15468313.0
2021-06-30,12M,EUR,24548553.0,35975000.0,-104740000.0,227555047.0,-9188000.0,177317000.0,155828466.0,-1.34879,5917079.0,167625000.0,-198418010.0,,23931000.0,11406987.0,10533461.0,21436898.0,,4616382.0,23845.0,,1250904.0,63314598.0,58157907.0,4616382.0,11406987.0,28438822.0,0.0,1302662.0,314066460.0,187721895.0,6103000.0,50568000.0,56671000.0,367676079.0,5512008.0,217242538.0,217242538.0,196857420.0,19540420.0,155828466.0,-1.34879,-209885432.0,-191403171.0,25839367.0,10533461.0,1306907573.0,-24875179.0,-156394791.0,-30635477.0,49597000.0,1811233.0,483870791.0,45163000.0,269132662.0,164509830.0,20120000.0,16397000.0,16397000.0,5090000.0,5090000.0,-10838607.0,139676.0,9127022.0,404260822.0,-12531658.0,13015630.0,0.0,41453278.0,15800000.0,17828000.0,325254000.0,343081109.0,41453278.0,-49020429.0,2276265.0,163134.0,45615000.0,960441933.0,0.0,0.0,365288539.0,-209885432.0,-209885432.0,-209885432.0,-209885432.0,-209885432.0,-209885432.0,-209885432.0,-6535122.0,-12093000.0,0.0,-7567151.0,-7567151.0,-12093000.0,-6469421.0,139676.0,164392662.0,-6136212.0,38800106.0,-455431969.0,0.0,12483043.0,9344594.0,11886444.0,2584691.0,43017367.0,-196830152.0,42023219.0,343628936.0,-179119106.0,478576290.0,194371546.0,,1349000.0,,482059558.0,11197081.0,343000.0,1276.0,68767857.0,216175826.0,38790000.0,112052408.0,10903437.0,-2136000.0,0.0,271246379.0,23420886.0,4465567.0,-207800171.0,0.0,0.0,-192281798.0,0.0,-6136212.0,314066460.0,217242538.0,1077000.0,1077000.0,-49020429.0,-209885432.0,,185746676.0,,1275000.0,50872000.0,194371546.0,-17178000.0,28438822.0,-455431969.0,-4122720.0,2085261.0,0.24,3316000.0,-3462227.0,907811913.0,353692822.0,399752109.0,28438822.0,657695396.0,879373091.0,720090018.0,511697012.0,-197194261.0,786000.0,478576290.0,30522000.0,-17178000.0,-17178000.0,144082006.0,-179954184.0,-806000.0
2022-06-30,12M,EUR,31025402.0,27552000.0,-116433000.0,399869675.0,-9768000.0,170217000.0,231269186.0,-1.032934,10533461.0,168340000.0,-233717480.0,,19803000.0,23379254.0,70314055.0,81970731.0,70314055.0,59780594.0,1172465.0,1293723.0,18312337.0,8747560.0,29526085.0,59780594.0,23379254.0,164707771.0,393800646.0,636919.0,324087062.0,216959141.0,4116000.0,19523000.0,23639000.0,384213798.0,6904903.0,190235066.0,190235066.0,187091423.0,16874423.0,231269186.0,-1.032934,-239257714.0,-221792168.0,-31557102.0,70314055.0,981151278.0,203025467.0,-265851747.0,-27902508.0,56744000.0,1811233.0,489358974.0,37320000.0,270700919.0,118560370.0,3143000.0,15645000.0,15645000.0,2915000.0,2915000.0,-9733789.0,,7954557.0,368244771.0,-111110606.0,11748814.0,393800646.0,0.0,15800000.0,15687000.0,184014000.0,199700733.0,0.0,-82120237.0,2576908.0,63962.0,46088000.0,913430825.0,-212949.0,393800646.0,133222945.0,-239257714.0,-239257714.0,-239257714.0,-239257714.0,-239257714.0,-239257714.0,-239257714.0,-110060769.0,-17036000.0,,-178421294.0,-82120237.0,-17036000.0,-2620096.0,3955311.0,154267919.0,-4792199.0,-96301057.0,-324651203.0,0.0,8857009.0,6656099.0,8464209.0,316000.0,-29085102.0,-237378994.0,-32134267.0,336573470.0,-218013100.0,442647432.0,296074084.0,,1055000.0,160536101.0,487547741.0,15870528.0,498000.0,-1212.0,60761535.0,214546753.0,39836000.0,91020519.0,11656676.0,-733000.0,0.0,311294155.0,,6290334.0,-237437168.0,0.0,-212949.0,-228925281.0,,-4792199.0,324087062.0,190235066.0,965000.0,965000.0,-82120237.0,-259039261.0,,118864512.0,,2240000.0,58984000.0,296074084.0,-2472000.0,164707771.0,-324651203.0,-593280.0,1820546.0,0.24,1116000.0,-518030.0,931694127.0,348721771.0,223339733.0,164707771.0,660660532.0,766986356.0,714734986.0,382772558.0,-221654334.0,4306000.0,442647432.0,65722000.0,-2472000.0,-2472000.0,165687857.0,-167254657.0,62000.0
2023-06-30,12M,EUR,35225751.0,23642000.0,-118458000.0,161732580.0,-9686000.0,146417000.0,296074084.0,-0.418296,70314055.0,160782000.0,-240392264.0,,17537000.0,23379254.0,48676632.0,60843719.0,48676632.0,-21637423.0,-2650853.0,-3060238.0,-63439895.0,8424554.0,-60726432.0,-21637424.0,23379254.0,42099515.0,0.0,1269107.0,271692421.0,160606775.0,4602000.0,263189000.0,267791000.0,558655372.0,3812183.0,173642660.0,173642660.0,160924663.0,14507663.0,296074084.0,-0.418296,-123693576.0,-99560402.0,74082258.0,48676632.0,1188300146.0,148107788.0,-282645937.0,-46672892.0,74969000.0,1811233.0,378169792.0,33328000.0,307556107.0,235279692.0,12718000.0,17788000.0,17788000.0,3041000.0,3041000.0,-12271303.0,,10605410.0,413141515.0,-127491539.0,12268480.0,0.0,70000000.0,35648000.0,12935000.0,107853000.0,120787694.0,70000000.0,-23752049.0,1230117.0,96444.0,69127000.0,866925216.0,1504277.0,0.0,322365368.0,-123693576.0,-123693576.0,-123693576.0,-123693576.0,-123693576.0,-123693576.0,-123693576.0,-76153717.0,-19758000.0,,161560884.0,46247951.0,-19758000.0,-1181793.0,772666.0,189098107.0,-53614765.0,115312933.0,-336070277.0,0.0,8730687.0,5363766.0,6877896.0,536698.0,87868258.0,-113216216.0,-42253673.0,319201179.0,-83921487.0,506972113.0,296074084.0,1.0,676000.0,73925812.0,376358559.0,18216306.0,623000.0,-1077.0,50307215.0,203527729.0,40730000.0,52938639.0,12167087.0,-681000.0,0.0,253716480.0,,5128007.0,-117348402.0,0.0,1504277.0,-186777499.0,,-53614765.0,271692421.0,173642660.0,477000.0,477000.0,-23752049.0,-143475123.0,1504277.0,110623782.0,,3034000.0,78003000.0,296074084.0,-13786000.0,42099515.0,-336070277.0,-3308640.0,6345174.0,0.24,6773000.0,-2862252.0,833972926.0,149952515.0,388578694.0,42099515.0,590893600.0,791873411.0,673366151.0,233218039.0,-99289583.0,5011000.0,506972113.0,14963000.0,-13786000.0,-13786000.0,96726395.0,-398048597.0,1749000.0
