symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,DividendsPayable,FinishedGoods,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HedgingAssetsCurrent,InventoriesAdjustmentsAllowances,Inventory,InvestedCapital,InvestmentinFinancialAssets,InvestmentsInOtherVenturesUnderEquityMethod,InvestmentsinSubsidiariesatCost,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherIntangibleAssets,OtherInventories,OtherInvestments,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PrepaidAssets,Properties,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TradeandOtherPayablesNonCurrent,WorkInProcess,WorkingCapital
FUM.MI,2019-12-31,12M,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79500.0,,,,,,,,,4367682.0,,282.0,,,8921.0,9955.0,-1.0,,,,,208437.0,,,,,16586514.0,,,,,,,,,,,,,,,
FUM.MI,2020-12-31,12M,EUR,7457770.0,27289604.0,-7805183.0,39952418.0,-2749204.0,9955.0,88738.0,120607.0,6301000.0,13614049.0,13614049.0,13611652.0,2397.0,6301000.0,71018436.0,309862.0,69267294.0,49475.0,6943992.0,6993467.0,16007625.0,0.0,18194319.0,18244.0,30038808.0,28305799.0,0.0,-950342.0,18056504.0,83017984.0,9955.0,2322585.0,0.0,19109912.0,71132.0,5055556.0,5126688.0,2322585.0,80071.0,6389882.0,,,20500616.0,71000192.0,1189093.0,78979.0,1429142.0,,29894203.0,-2.0,78285.0,18244.0,6399.0,9955.0,800.0,,403854.0,2407405.0,218035.0,210000.0,8240793.0,7864372.0,0.0,,10326704.0,29894203.0,71018436.0,71000192.0,2224732.0,93740941.0,76073992.0,12120155.0,71018436.0,22722505.0,24473648.0,6714880.0,379169.0,,812527.0,53259669.0
FUM.MI,2021-12-31,12M,EUR,12868317.0,29626363.0,-9691828.0,68740552.0,-3033431.0,10055.0,59158.0,71132.0,6923626.0,23737167.0,23737167.0,23731459.0,5708.0,6923626.0,103067172.0,868955.0,75679702.0,37185.0,4944724.0,4981909.0,25595447.0,133500.0,20928872.0,55751607.0,32659794.0,40177855.0,132540.0,-1089419.0,20698959.0,133164991.0,10055.0,3614804.0,5100.0,30030909.0,33947.0,25153095.0,25187042.0,3619904.0,,6616545.0,,6360652.0,30486027.0,47315565.0,1548106.0,53986.0,1697044.0,,32835629.0,-1.0,472318.0,55751607.0,,9955.0,-1.0,12528298.0,523107.0,2602288.0,55004.0,,17066246.0,1127240.0,0.0,0.0,10366470.0,32835629.0,103067172.0,47315565.0,302430.0,168852941.0,128220267.0,30168951.0,103067171.0,65785770.0,93173239.0,40190323.0,3541322.0,723953.0,859506.0,50084255.0
FUM.MI,2022-12-31,12M,EUR,16370934.0,28569641.0,-11231573.0,68740552.0,-3409361.0,10055.0,299274.0,307033.0,6923626.0,17402253.0,17402253.0,17394195.0,8058.0,6923626.0,113831849.0,698900.0,90091566.0,27061.0,4947136.0,4974197.0,31506611.0,0.0,27226314.0,51734602.0,31979002.0,41220991.0,2234027.0,-2029158.0,26153591.0,141122186.0,10055.0,3532107.0,13067.0,30160000.0,279972.0,22343201.0,22623173.0,3545174.0,102083.0,7559425.0,0.0,9888084.0,29989418.0,62097247.0,2201877.0,586033.0,1382839.0,,32835279.0,-2.0,3119659.0,51734602.0,,,,10059706.0,535041.0,2503392.0,260358.0,,20343015.0,1156852.0,0.0,12000000.0,17249328.0,32835279.0,113831849.0,62097247.0,2314846.0,180092294.0,136175050.0,27597370.0,113831849.0,66260445.0,90000728.0,34753834.0,3437040.0,,956435.0,58584955.0
FUM.MI,2023-12-31,12M,EUR,19430416.0,33375713.0,-13043439.0,68740552.0,-3582552.0,10055.0,3802764.0,1555776.0,6923626.0,28639294.0,28639294.0,28627884.0,11410.0,6923626.0,116658501.0,44579.0,101517978.0,78569.0,10788349.0,10866918.0,41110919.0,,32186582.0,49174876.0,36958265.0,59316526.0,1797685.0,-2109261.0,30664627.0,157577689.0,10055.0,4766452.0,0.0,37791032.0,1477207.0,30130839.0,31608046.0,4766452.0,,14149602.0,4219055.0,12279894.0,46273087.0,67483625.0,2721491.0,1043021.0,1666163.0,,32835279.0,,5771417.0,49174876.0,,,1.0,7574503.0,562799.0,3528549.0,614288.0,,20514724.0,1413256.0,0.0,0.0,,32835279.0,116658501.0,67483625.0,5013115.0,206071523.0,146789340.0,42474964.0,120877556.0,85193967.0,104553545.0,44083048.0,521509.0,,587306.0,60407059.0
