asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredTaxesLiabilities,CurrentLiabilities,FixedAssetsRevaluationReserve,GoodwillAndOtherIntangibleAssets,GrossPPE,Inventory,InvestedCapital,LongTermCapitalLeaseObligation,LongTermDebtAndCapitalLeaseObligation,MachineryFurnitureEquipment,NetPPE,NetTangibleAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,Properties,RawMaterials,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TreasurySharesNumber,TreasuryStock,WorkingCapital
2022-12-31,3M,EUR,6351000.0,885000.0,-2917000.0,106097000.0,12337000.0,11891000.0,5731000.0,24436000.0,86200000.0,24443000.0,3000.0,5731000.0,97921000.0,25000.0,98963000.0,871000.0,871000.0,0.0,10785000.0,-87000.0,1218000.0,25478000.0,1922000.0,97921000.0,11020000.0,11020000.0,161000.0,22561000.0,96703000.0,1962000.0,98000.0,191000.0,960000.0,40415378.0,226000.0,,1000.0,1218000.0,-100000.0,1000.0,1469000.0,12980000.0,2934000.0,61764000.0,8489000.0,0.0,1922000.0,-12497000.0,40611111.0,97921000.0,96703000.0,6796000.0,125827000.0,97921000.0,11891000.0,97921000.0,27906000.0,26864000.0,17121000.0,669000.0,195733.0,2461000.0,88178000.0
2023-06-30,3M,EUR,7969000.0,1052000.0,-13829000.0,99755000.0,13118000.0,12010000.0,5731000.0,36592000.0,94302000.0,36591000.0,1000.0,5731000.0,104844000.0,778000.0,107017000.0,936000.0,936000.0,372000.0,13687000.0,-234000.0,1287000.0,36864000.0,2533000.0,104844000.0,11074000.0,11074000.0,9174000.0,23035000.0,103557000.0,1739000.0,133000.0,168000.0,1032000.0,40360242.0,444000.0,-1000.0,124000.0,1287000.0,3423000.0,1000.0,1798000.0,13794000.0,1554000.0,57710000.0,10924000.0,0.0,2533000.0,1516000.0,40611111.0,104844000.0,103557000.0,7132000.0,134895000.0,104844000.0,12010000.0,104844000.0,30051000.0,27878000.0,16364000.0,1157000.0,250869.0,3658000.0,93330000.0
2023-12-31,3M,EUR,7799000.0,1281000.0,-15732000.0,99756000.0,16111000.0,12100000.0,5731000.0,15635000.0,75344000.0,15633000.0,2000.0,5731000.0,90589000.0,1664000.0,89236000.0,1000000.0,1000000.0,466000.0,12710000.0,-2000.0,1246000.0,41608000.0,2248000.0,90589000.0,11100000.0,11100000.0,9292000.0,25876000.0,89343000.0,1507000.0,123000.0,236000.0,1202000.0,40289596.0,279000.0,1000.0,394000.0,1246000.0,-1000.0,,1721000.0,14541000.0,1908000.0,59709000.0,9759000.0,0.0,2248000.0,-12317000.0,40611111.0,90589000.0,89343000.0,8176000.0,119270000.0,90589000.0,12100000.0,90589000.0,28681000.0,30034000.0,15971000.0,239000.0,321515.0,4840000.0,76526000.0
